"",BBFB1.Q.N.DE.A5.S1.S1.T.L.FA.O.F._Z._T._X.N,BBFB1.Q.N.DE.A5.S1.S1.T.L.FA.O.F._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Other investment / Central America and Caribbean countries,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:45:58,
1991-01,1298.031,
1991-04,302.995,
1991-07,-419.539,
1991-10,25.795,
1992-01,572.756,
1992-04,1018.031,
1992-07,-287.641,
1992-10,857.527,
1993-01,-204.618,
1993-04,-163.525,
1993-07,-75.326,
1993-10,31.676,
1994-01,1673.426,
1994-04,-366.411,
1994-07,-438.218,
1994-10,615.880,
1995-01,-1333.203,
1995-04,411.323,
1995-07,-53.822,
1995-10,732.577,
1996-01,-764.483,
1996-04,540.312,
1996-07,749.234,
1996-10,490.066,
1997-01,1707.507,
1997-04,575.765,
1997-07,670.234,
1997-10,1229.051,
1998-01,-18.159,
1998-04,3022.530,
1998-07,-2723.950,
1998-10,6801.326,
1999-01,624.850,
1999-04,5595.560,
1999-07,1916.841,
1999-10,-2660.014,
2000-01,3344.644,
2000-04,4561.749,
2000-07,-2829.249,
2000-10,-2077.200,
2001-01,1718.005,
2001-04,-3683.858,
2001-07,1071.752,
2001-10,5774.685,
2002-01,9269.468,
2002-04,6066.798,
2002-07,-3715.903,
2002-10,835.374,
2003-01,-732.475,
2003-04,-805.110,
2003-07,-5805.441,
2003-10,4340.730,
2004-01,920.192,
2004-04,-4011.272,
2004-07,-1785.350,
2004-10,1033.226,
2005-01,765.457,
2005-04,3481.608,
2005-07,-1501.387,
2005-10,-8123.548,
2006-01,-459.181,
2006-04,4820.813,
2006-07,2289.438,
2006-10,-971.671,
2007-01,-190.730,
2007-04,-2948.653,
2007-07,2415.945,
2007-10,4671.826,
2008-01,7621.726,
2008-04,-3032.988,
2008-07,-7560.007,
2008-10,6227.674,
2009-01,-3095.923,
2009-04,597.947,
2009-07,986.585,
2009-10,-1858.688,
2010-01,-3100.391,
2010-04,2725.530,
2010-07,-1440.943,
2010-10,-776.068,
2011-01,-6233.839,
2011-04,947.261,
2011-07,1334.171,
2011-10,-1131.755,
2012-01,920.270,
2012-04,1108.381,
2012-07,-124.696,
2012-10,877.677,
2013-01,1468.377,
2013-04,28.634,
2013-07,1094.138,
2013-10,2947.326,
2014-01,851.512,Provisional value
2014-04,3127.899,Provisional value
2014-07,9796.648,Provisional value
2014-10,27420.972,Provisional value
