"",BBK01.OEAD24H,BBK01.OEAD24H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:57:51,
2002-01,0.180,
2002-04,0.179,
2002-07,0.175,
2002-10,0.174,
2003-01,0.181,
2003-04,0.177,
2003-07,0.187,
2003-10,0.190,
2004-01,0.188,
2004-04,0.178,
2004-07,0.156,
2004-10,0.154,
2005-01,0.143,
2005-04,0.138,
2005-07,0.152,
2005-10,0.132,
2006-01,0.133,
2006-04,0.142,
2006-07,0.176,
2006-10,0.174,
2007-01,0.188,
2007-04,0.206,
2007-07,0.532,
2007-10,0.365,
2008-01,0.350,
2008-04,0.388,
2008-07,0.376,
2008-10,0.360,
2009-01,0.427,
2009-04,0.232,
2009-07,0.231,
2009-10,0.218,
2010-01,0.194,
2010-04,0.189,
2010-07,0.149,
2010-10,0.155,
2011-01,0.147,
2011-04,0.152,
2011-07,0.182,
2011-10,0.199,
2012-01,0.178,
2012-04,0.177,
2012-07,0.156,
2012-10,0.193,
2013-01,0.204,
2013-04,0.200,
2013-07,0.197,
2013-10,0.175,
2014-01,0.170,
2014-04,0.160,
2014-07,0.165,
