"",BBK01.OEAD30K,BBK01.OEAD30K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:58:45,
2002-01,0.159,
2002-04,0.148,
2002-07,0.136,
2002-10,0.132,
2003-01,0.107,
2003-04,0.099,
2003-07,0.136,
2003-10,0.116,
2004-01,0.091,
2004-04,0.093,
2004-07,0.085,
2004-10,0.083,
2005-01,0.112,
2005-04,0.098,
2005-07,0.130,
2005-10,0.103,
2006-01,0.149,
2006-04,0.177,
2006-07,0.194,
2006-10,0.176,
2007-01,0.138,
2007-04,0.133,
2007-07,0.136,
2007-10,0.200,
2008-01,0.183,
2008-04,0.210,
2008-07,0.212,
2008-10,0.182,
2009-01,0.198,
2009-04,0.241,
2009-07,0.237,
2009-10,0.236,
2010-01,0.180,
2010-04,0.153,
2010-07,0.179,
2010-10,0.171,
2011-01,0.174,
2011-04,0.202,
2011-07,0.215,
2011-10,0.135,
2012-01,0.132,
2012-04,0.102,
2012-07,0.103,
2012-10,0.121,
2013-01,0.129,
2013-04,0.143,
2013-07,0.138,
2013-10,0.119,
2014-01,0.115,
2014-04,0.168,
2014-07,0.158,
