"",BBK01.OEAM05M,BBK01.OEAM05M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:38:37,
2002-01,0.290,
2002-04,0.293,
2002-07,0.306,
2002-10,0.319,
2003-01,0.302,
2003-04,0.307,
2003-07,0.323,
2003-10,0.274,
2004-01,0.243,
2004-04,0.250,
2004-07,0.254,
2004-10,0.274,
2005-01,0.274,
2005-04,0.259,
2005-07,0.254,
2005-10,0.290,
2006-01,0.204,
2006-04,0.212,
2006-07,0.240,
2006-10,0.257,
2007-01,0.463,
2007-04,0.407,
2007-07,0.466,
2007-10,0.418,
2008-01,0.201,
2008-04,0.196,
2008-07,0.192,
2008-10,0.171,
2009-01,0.171,
2009-04,0.251,
2009-07,0.288,
2009-10,0.288,
2010-01,0.298,
2010-04,0.302,
2010-07,0.295,
2010-10,0.324,
2011-01,0.320,
2011-04,0.348,
2011-07,0.364,
2011-10,0.375,
2012-01,0.367,
2012-04,0.344,
2012-07,0.340,
2012-10,0.325,
2013-01,0.354,
2013-04,0.355,
2013-07,0.409,
2013-10,0.417,
2014-01,0.401,
2014-04,0.402,
2014-07,0.432,
