"",BBK01.OEBK01L,BBK01.OEBK01L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:07:51,
2002-01,3.849,
2002-04,4.494,
2002-07,5.135,
2002-10,5.493,
2003-01,6.554,
2003-04,7.065,
2003-07,7.017,
2003-10,6.880,
2004-01,7.880,
2004-04,8.442,
2004-07,8.741,
2004-10,9.415,
2005-01,9.494,
2005-04,10.004,
2005-07,10.150,
2005-10,10.088,
2006-01,10.073,
2006-04,10.309,
2006-07,10.737,
2006-10,10.483,
2007-01,10.612,
2007-04,10.970,
2007-07,11.032,
2007-10,11.391,
2008-01,11.359,
2008-04,11.467,
2008-07,12.777,
2008-10,12.535,
2009-01,12.888,
2009-04,11.654,
2009-07,13.180,
2009-10,13.433,
2010-01,13.542,
2010-04,15.162,
2010-07,15.302,
2010-10,15.185,
2011-01,15.886,
2011-04,18.111,
2011-07,18.200,
2011-10,16.679,
2012-01,17.630,
2012-04,17.793,
2012-07,17.838,
2012-10,18.255,
2013-01,18.444,
2013-04,18.573,
2013-07,19.365,
2013-10,17.644,
2014-01,17.920,
2014-04,19.138,
2014-07,18.992,
