"",BBK01.OEAH46T,BBK01.OEAH46T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:30:55,
2002-01,0.237,
2002-04,0.223,
2002-07,0.222,
2002-10,0.230,
2003-01,0.222,
2003-04,0.194,
2003-07,0.194,
2003-10,0.195,
2004-01,0.191,
2004-04,0.174,
2004-07,0.170,
2004-10,0.180,
2005-01,0.170,
2005-04,0.161,
2005-07,0.148,
2005-10,0.149,
2006-01,0.146,
2006-04,0.143,
2006-07,0.142,
2006-10,0.153,
2007-01,0.156,
2007-04,0.151,
2007-07,0.168,
2007-10,0.193,
2008-01,0.204,
2008-04,0.214,
2008-07,0.261,
2008-10,0.274,
2009-01,0.209,
2009-04,0.169,
2009-07,0.146,
2009-10,0.138,
2010-01,0.121,
2010-04,0.111,
2010-07,0.099,
2010-10,0.096,
2011-01,0.091,
2011-04,0.087,
2011-07,0.096,
2011-10,0.097,
2012-01,0.101,
2012-04,0.084,
2012-07,0.085,
2012-10,0.070,
2013-01,0.069,
2013-04,0.067,
2013-07,0.061,
2013-10,0.058,
2014-01,0.104,
2014-04,0.110,
2014-07,0.107,
