"",BBK01.OEBI04K,BBK01.OEBI04K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:52:33,
2002-01,7.502,
2002-04,7.764,
2002-07,7.953,
2002-10,8.407,
2003-01,8.040,
2003-04,6.992,
2003-07,7.644,
2003-10,6.984,
2004-01,6.358,
2004-04,6.369,
2004-07,6.482,
2004-10,6.973,
2005-01,6.156,
2005-04,6.455,
2005-07,5.862,
2005-10,6.506,
2006-01,6.632,
2006-04,7.309,
2006-07,7.206,
2006-10,7.546,
2007-01,9.081,
2007-04,8.989,
2007-07,9.907,
2007-10,11.724,
2008-01,11.090,
2008-04,12.050,
2008-07,12.954,
2008-10,12.485,
2009-01,10.694,
2009-04,10.247,
2009-07,8.577,
2009-10,7.723,
2010-01,7.261,
2010-04,7.202,
2010-07,7.079,
2010-10,7.985,
2011-01,6.972,
2011-04,7.483,
2011-07,8.233,
2011-10,8.932,
2012-01,8.491,
2012-04,8.424,
2012-07,7.930,
2012-10,8.635,
2013-01,8.724,
2013-04,8.306,
2013-07,7.509,
2013-10,6.787,
2014-01,6.318,
2014-04,6.718,
2014-07,6.914,
