"",BBFB1.M.N.DE.W1.S12T.S1.T.A.FA.O.F4.S._T.N.N,BBFB1.M.N.DE.W1.S12T.S1.T.A.FA.O.F4.S._T.N.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Other investment / Loans / Monetary financial institutions / Short-term / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:51:32,
1991-01,-305.335,
1991-02,1426.630,
1991-03,-319.353,
1991-04,-255.996,
1991-05,570.764,
1991-06,635.287,
1991-07,-482.766,
1991-08,1232.818,
1991-09,-1160.283,
1991-10,-671.492,
1991-11,633.381,
1991-12,-1353.615,
1992-01,1087.011,
1992-02,465.742,
1992-03,112.491,
1992-04,163.774,
1992-05,13.633,
1992-06,-227.184,
1992-07,-1047.187,
1992-08,-159.860,
1992-09,-488.407,
1992-10,1093.404,
1992-11,-123.536,
1992-12,137.403,
1993-01,343.148,
1993-02,1870.146,
1993-03,541.104,
1993-04,-1156.694,
1993-05,1227.616,
1993-06,-263.036,
1993-07,1433.917,
1993-08,488.143,
1993-09,-848.936,
1993-10,522.576,
1993-11,273.820,
1993-12,5195.467,
1994-01,-135.976,
1994-02,-2416.386,
1994-03,1034.577,
1994-04,-1182.497,
1994-05,57.518,
1994-06,-2992.055,
1994-07,-2564.639,
1994-08,1820.686,
1994-09,-1106.479,
1994-10,-976.722,
1994-11,1831.978,
1994-12,-244.670,
1995-01,-755.386,
1995-02,851.804,
1995-03,-275.386,
1995-04,263.856,
1995-05,2171.274,
1995-06,-394.031,
1995-07,-181.006,
1995-08,1044.092,
1995-09,526.705,
1995-10,1927.419,
1995-11,-589.029,
1995-12,-793.899,
1996-01,736.068,
1996-02,403.489,
1996-03,-1031.855,
1996-04,1734.715,
1996-05,2480.085,
1996-06,597.132,
1996-07,225.668,
1996-08,444.826,
1996-09,-836.540,
1996-10,1801.807,
1996-11,1732.441,
1996-12,39.980,
1997-01,3307.646,
1997-02,4787.370,
1997-03,-570.983,
1997-04,1605.384,
1997-05,-173.982,
1997-06,2855.873,
1997-07,1498.490,
1997-08,-1211.053,
1997-09,-298.730,
1997-10,184.179,
1997-11,1848.538,
1997-12,3246.774,
1998-01,-4473.983,
1998-02,3507.091,
1998-03,1504.608,
1998-04,-60.029,
1998-05,970.405,
1998-06,1910.074,
1998-07,-640.871,
1998-08,3075.904,
1998-09,4548.463,
1998-10,-7647.153,
1998-11,727.201,
1998-12,-6383.617,
1999-01,7054.769,
1999-02,-5639.087,
1999-03,2227.571,
1999-04,2653.474,
1999-05,3593.783,
1999-06,-8249.299,
1999-07,6090.287,
1999-08,-2688.275,
1999-09,2177.046,
1999-10,3558.210,
1999-11,-43.298,
1999-12,-5405.027,
2000-01,4161.583,
2000-02,2771.658,
2000-03,3031.816,
2000-04,4499.289,
2000-05,-3781.228,
2000-06,-11767.382,
2000-07,-437.198,
2000-08,6456.323,
2000-09,1424.347,
2000-10,1365.746,
2000-11,4130.039,
2000-12,4510.548,
2001-01,9880.900,
2001-02,941.515,
2001-03,14138.351,
2001-04,7476.678,
2001-05,-2861.874,
2001-06,-5711.043,
2001-07,-3215.951,
2001-08,4121.603,
2001-09,2993.610,
2001-10,1825.467,
2001-11,9092.343,
2001-12,-10426.231,
2002-01,2317.615,
2002-02,695.600,
2002-03,9809.127,
2002-04,-4141.571,
2002-05,4906.524,
2002-06,-3671.416,
2002-07,-4565.568,
2002-08,-2264.175,
2002-09,10172.660,
2002-10,-110.641,
2002-11,2654.241,
2002-12,-16809.860,
2003-01,285.519,
2003-02,18265.367,
2003-03,3591.476,
2003-04,13104.144,
2003-05,3807.351,
2003-06,-12744.348,
2003-07,-9259.833,
2003-08,-6493.402,
2003-09,10618.718,
2003-10,-4309.213,
2003-11,12795.820,
2003-12,-5483.631,
2004-01,6616.876,
2004-02,8556.455,
2004-03,6508.240,
2004-04,3975.620,
2004-05,-13597.540,
2004-06,1226.891,
2004-07,2755.020,
2004-08,10789.535,
2004-09,7186.389,
2004-10,-1588.448,
2004-11,19925.645,
2004-12,-19987.603,
2005-01,13721.798,
2005-02,2255.638,
2005-03,-14732.446,
2005-04,29313.886,
2005-05,-16260.959,
2005-06,-14992.040,
2005-07,4433.395,
2005-08,-1028.481,
2005-09,-1785.476,
2005-10,2211.400,
2005-11,4741.491,
2005-12,-17569.402,
2006-01,22865.228,
2006-02,-10969.912,
2006-03,-4018.560,
2006-04,21355.299,
2006-05,-4166.862,
2006-06,-3331.738,
2006-07,4402.035,
2006-08,3256.222,
2006-09,112.785,
2006-10,5302.183,
2006-11,4160.326,
2006-12,-13506.495,
2007-01,19731.937,
2007-02,2840.145,
2007-03,3400.518,
2007-04,11878.687,
2007-05,425.918,
2007-06,1016.993,
2007-07,-3614.286,
2007-08,6917.488,
2007-09,7136.175,
2007-10,-1576.874,
2007-11,17445.926,
2007-12,-11916.623,
2008-01,19084.553,
2008-02,11552.413,
2008-03,5634.031,
2008-04,-207.200,
2008-05,3562.867,
2008-06,-34831.314,
2008-07,1895.571,
2008-08,4398.880,
2008-09,-1422.500,
2008-10,-691.554,
2008-11,-10298.505,
2008-12,-27215.714,
2009-01,-1099.897,
2009-02,-13223.515,
2009-03,-3048.314,
2009-04,11571.129,
2009-05,-1192.958,
2009-06,-551.461,
2009-07,-5865.218,
2009-08,-4729.653,
2009-09,-3369.599,
2009-10,1947.387,
2009-11,-1928.198,
2009-12,-8530.976,
2010-01,2855.732,
2010-02,199.919,
2010-03,-3953.547,
2010-04,23416.450,
2010-05,9173.285,
2010-06,-24417.725,
2010-07,-1052.980,
2010-08,647.017,
2010-09,-12538.535,
2010-10,-2451.009,
2010-11,10775.452,
2010-12,-16268.444,
2011-01,3134.896,
