"",BBFB1.Q.N.DE.US.S1.S1.T.B.G._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.US.S1.S1.T.B.G._Z._Z._Z._T._X.N_FLAGS
"",Current account / Goods (fob/fob) / Balance / United States,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:32:55,
1991-01,467.355,
1991-04,-882.461,
1991-07,285.998,
1991-10,575.025,
1992-01,-682.629,
1992-04,-222.119,
1992-07,682.318,
1992-10,464.941,
1993-01,249.754,
1993-04,678.084,
1993-07,958.848,
1993-10,1584.770,
1994-01,1015.546,
1994-04,1491.275,
1994-07,1438.037,
1994-10,1685.227,
1995-01,980.546,
1995-04,1747.944,
1995-07,1328.583,
1995-10,1378.402,
1996-01,916.450,
1996-04,1504.484,
1996-07,1983.804,
1996-10,2206.872,
1997-01,2046.420,
1997-04,2268.981,
1997-07,3247.645,
1997-10,3460.451,
1998-01,3081.310,
1998-04,3465.941,
1998-07,3504.621,
1998-10,4220.081,
1999-01,3081.882,
1999-04,4349.354,
1999-07,4563.671,
1999-10,4998.881,
2000-01,4847.581,
2000-04,4455.200,
2000-07,5109.558,
2000-10,4833.524,
2001-01,5354.113,
2001-04,5207.965,
2001-07,6875.878,
2001-10,6059.731,
2002-01,6582.439,
2002-04,6187.831,
2002-07,8847.840,
2002-10,7453.424,
2003-01,5760.909,
2003-04,6308.305,
2003-07,6544.628,
2003-10,6588.161,
2004-01,7417.246,
2004-04,6769.901,
2004-07,7571.133,
2004-10,7298.355,
2005-01,7639.575,
2005-04,8100.111,
2005-07,8821.117,
2005-10,8199.968,
2006-01,8937.686,
2006-04,7376.952,
2006-07,8657.972,
2006-10,9586.888,
2007-01,7076.876,
2007-04,5941.934,
2007-07,7628.029,
2007-10,7286.035,
2008-01,7628.955,
2008-04,7350.705,
2008-07,6938.008,
2008-10,4417.043,
2009-01,3036.309,
2009-04,5133.003,
2009-07,4828.023,
2009-10,4664.766,
2010-01,4985.340,
2010-04,6332.009,
2010-07,5986.543,
2010-10,5482.716,
2011-01,5128.565,
2011-04,6353.370,
2011-07,7707.519,
2011-10,8567.704,
2012-01,9724.385,
2012-04,8041.368,
2012-07,11604.011,
2012-10,9430.505,
2013-01,10423.338,
2013-04,11017.586,
2013-07,11628.472,
2013-10,12455.287,
2014-01,11497.458,Provisional value
2014-04,11191.029,Provisional value
2014-07,14567.223,Provisional value
