"",BBK01.OEHO02S,BBK01.OEHO02S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:15:34,
2002-01,0.797,
2002-04,0.563,
2002-07,0.663,
2002-10,0.716,
2003-01,0.820,
2003-04,0.552,
2003-07,0.558,
2003-10,0.690,
2004-01,0.704,
2004-04,0.520,
2004-07,0.527,
2004-10,0.599,
2005-01,0.641,
2005-04,0.484,
2005-07,0.582,
2005-10,0.594,
2006-01,0.724,
2006-04,0.541,
2006-07,0.534,
2006-10,0.674,
2007-01,0.811,
2007-04,0.556,
2007-07,0.595,
2007-10,0.654,
2008-01,0.659,
2008-04,0.571,
2008-07,0.536,
2008-10,0.734,
2009-01,0.736,
2009-04,0.560,
2009-07,0.596,
2009-10,0.722,
2010-01,0.712,
2010-04,0.537,
2010-07,0.474,
2010-10,0.629,
2011-01,0.592,
2011-04,0.486,
2011-07,0.516,
2011-10,0.563,
2012-01,0.581,
2012-04,0.515,
2012-07,0.492,
2012-10,0.558,
2013-01,0.584,
2013-04,0.446,
2013-07,0.474,
2013-10,0.511,
2014-01,0.532,
2014-04,0.462,
2014-07,0.445,
