"",BBK01.OEAH66P,BBK01.OEAH66P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:28:46,
2002-01,0.450,
2002-04,0.462,
2002-07,0.451,
2002-10,0.447,
2003-01,0.461,
2003-04,0.453,
2003-07,0.429,
2003-10,0.419,
2004-01,0.423,
2004-04,0.423,
2004-07,0.418,
2004-10,0.425,
2005-01,0.411,
2005-04,0.393,
2005-07,0.378,
2005-10,0.373,
2006-01,0.354,
2006-04,0.340,
2006-07,0.333,
2006-10,0.322,
2007-01,0.318,
2007-04,0.310,
2007-07,0.303,
2007-10,0.296,
2008-01,0.288,
2008-04,0.284,
2008-07,0.286,
2008-10,0.275,
2009-01,0.271,
2009-04,0.273,
2009-07,0.282,
2009-10,0.307,
2010-01,0.334,
2010-04,0.351,
2010-07,0.350,
2010-10,0.342,
2011-01,0.346,
2011-04,0.361,
2011-07,0.372,
2011-10,0.384,
2012-01,0.373,
2012-04,0.370,
2012-07,0.362,
2012-10,0.336,
2013-01,0.302,
2013-04,0.269,
2013-07,0.254,
2013-10,0.245,
2014-01,0.239,
2014-04,0.225,
2014-07,0.208,
