"",BBK01.OEBL09I,BBK01.OEBL09I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:15:04,
2002-01,1.028,
2002-04,0.991,
2002-07,1.015,
2002-10,0.985,
2003-01,0.876,
2003-04,0.815,
2003-07,0.717,
2003-10,0.696,
2004-01,0.642,
2004-04,0.604,
2004-07,0.571,
2004-10,0.557,
2005-01,0.595,
2005-04,0.573,
2005-07,0.518,
2005-10,0.507,
2006-01,0.500,
2006-04,0.537,
2006-07,0.597,
2006-10,0.717,
2007-01,0.996,
2007-04,1.111,
2007-07,1.238,
2007-10,1.416,
2008-01,1.483,
2008-04,1.547,
2008-07,1.625,
2008-10,1.987,
2009-01,1.887,
2009-04,1.864,
2009-07,1.822,
2009-10,1.481,
2010-01,1.284,
2010-04,1.280,
2010-07,1.715,
2010-10,1.902,
2011-01,2.152,
2011-04,2.237,
2011-07,2.279,
2011-10,2.205,
2012-01,2.052,
2012-04,1.972,
2012-07,1.789,
2012-10,1.556,
2013-01,1.363,
2013-04,1.200,
2013-07,1.102,
2013-10,1.064,
2014-01,1.016,
2014-04,0.970,
2014-07,1.168,
