"",BBK01.OEHB18U,BBK01.OEHB18U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:41:37,
2002-01,0.202,
2002-04,0.216,
2002-07,0.231,
2002-10,0.225,
2003-01,0.220,
2003-04,0.238,
2003-07,0.243,
2003-10,0.230,
2004-01,0.219,
2004-04,0.220,
2004-07,0.227,
2004-10,0.210,
2005-01,0.204,
2005-04,0.207,
2005-07,0.223,
2005-10,0.208,
2006-01,0.201,
2006-04,0.211,
2006-07,0.215,
2006-10,0.209,
2007-01,0.197,
2007-04,0.203,
2007-07,0.212,
2007-10,0.202,
2008-01,0.203,
2008-04,0.203,
2008-07,0.211,
2008-10,0.205,
2009-01,0.199,
2009-04,0.194,
2009-07,0.178,
2009-10,0.170,
2010-01,0.164,
2010-04,0.164,
2010-07,0.161,
2010-10,0.149,
2011-01,0.149,
2011-04,0.148,
2011-07,0.148,
2011-10,0.139,
2012-01,0.134,
2012-04,0.129,
2012-07,0.132,
2012-10,0.125,
2013-01,0.123,
2013-04,0.120,
2013-07,0.130,
2013-10,0.121,
2014-01,0.116,
2014-04,0.116,
2014-07,0.113,
