"",BBK01.OELB14G,BBK01.OELB14G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:25:17,
2002-01,2.982,
2002-04,2.981,
2002-07,2.911,
2002-10,2.916,
2003-01,2.770,
2003-04,2.698,
2003-07,2.608,
2003-10,2.581,
2004-01,2.438,
2004-04,2.405,
2004-07,2.318,
2004-10,2.183,
2005-01,2.150,
2005-04,2.083,
2005-07,2.053,
2005-10,2.016,
2006-01,2.040,
2006-04,2.043,
2006-07,1.983,
2006-10,1.947,
2007-01,1.911,
2007-04,1.925,
2007-07,1.892,
2007-10,1.940,
2008-01,1.939,
2008-04,1.958,
2008-07,1.927,
2008-10,1.938,
2009-01,1.952,
2009-04,1.921,
2009-07,1.871,
2009-10,1.809,
2010-01,1.817,
2010-04,1.849,
2010-07,1.743,
2010-10,1.670,
2011-01,1.667,
2011-04,1.662,
2011-07,1.607,
2011-10,1.576,
2012-01,1.575,
2012-04,1.620,
2012-07,1.608,
2012-10,1.623,
2013-01,1.614,
2013-04,1.624,
2013-07,1.562,
2013-10,1.534,
2014-01,1.520,
2014-04,1.526,
2014-07,1.486,
