"",BBK01.OEAL01Q,BBK01.OEAL01Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:12:56,
2002-01,28.058,
2002-04,27.733,
2002-07,27.514,
2002-10,28.119,
2003-01,27.899,
2003-04,27.653,
2003-07,28.622,
2003-10,28.778,
2004-01,28.455,
2004-04,27.914,
2004-07,27.697,
2004-10,27.968,
2005-01,30.286,
2005-04,30.258,
2005-07,30.364,
2005-10,30.874,
2006-01,31.747,
2006-04,31.999,
2006-07,32.119,
2006-10,32.759,
2007-01,33.801,
2007-04,35.031,
2007-07,36.374,
2007-10,37.605,
2008-01,38.379,
2008-04,40.116,
2008-07,40.756,
2008-10,42.118,
2009-01,41.461,
2009-04,41.944,
2009-07,41.481,
2009-10,41.754,
2010-01,42.190,
2010-04,42.894,
2010-07,43.042,
2010-10,43.711,
2011-01,43.578,
2011-04,43.761,
2011-07,44.004,
2011-10,44.603,
2012-01,44.967,
2012-04,47.444,
2012-07,47.448,
2012-10,47.593,
2013-01,48.467,
2013-04,49.691,
2013-07,50.031,
2013-10,50.403,
2014-01,50.728,
2014-04,52.723,
2014-07,51.879,
