"",BBK01.OEXL09Q,BBK01.OEXL09Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:19:43,
2002-01,0.473,
2002-04,0.445,
2002-07,0.471,
2002-10,0.450,
2003-01,0.399,
2003-04,0.362,
2003-07,0.338,
2003-10,0.322,
2004-01,0.308,
2004-04,0.286,
2004-07,0.269,
2004-10,0.254,
2005-01,0.259,
2005-04,0.250,
2005-07,0.222,
2005-10,0.217,
2006-01,0.222,
2006-04,0.241,
2006-07,0.256,
2006-10,0.282,
2007-01,0.425,
2007-04,0.487,
2007-07,0.547,
2007-10,0.634,
2008-01,0.673,
2008-04,0.697,
2008-07,0.743,
2008-10,1.005,
2009-01,0.969,
2009-04,0.939,
2009-07,0.946,
2009-10,0.766,
2010-01,0.625,
2010-04,0.601,
2010-07,0.567,
2010-10,0.679,
2011-01,0.793,
2011-04,0.820,
2011-07,0.833,
2011-10,0.793,
2012-01,0.731,
2012-04,0.715,
2012-07,0.659,
2012-10,0.558,
2013-01,0.460,
2013-04,0.399,
2013-07,0.374,
2013-10,0.351,
2014-01,0.335,
2014-04,0.320,
2014-07,0.420,
