"",BBK01.OELB13U,BBK01.OELB13U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:41:45,
2002-01,0.823,
2002-04,0.804,
2002-07,0.779,
2002-10,0.768,
2003-01,0.742,
2003-04,0.725,
2003-07,0.703,
2003-10,0.686,
2004-01,0.668,
2004-04,0.654,
2004-07,0.639,
2004-10,0.653,
2005-01,0.618,
2005-04,0.609,
2005-07,0.586,
2005-10,0.574,
2006-01,0.568,
2006-04,0.565,
2006-07,0.554,
2006-10,0.546,
2007-01,0.543,
2007-04,0.545,
2007-07,0.544,
2007-10,0.540,
2008-01,0.542,
2008-04,0.551,
2008-07,0.550,
2008-10,0.551,
2009-01,0.551,
2009-04,0.551,
2009-07,0.547,
2009-10,0.547,
2010-01,0.548,
2010-04,0.557,
2010-07,0.549,
2010-10,0.551,
2011-01,0.556,
2011-04,0.562,
2011-07,0.563,
2011-10,0.572,
2012-01,0.577,
2012-04,0.877,
2012-07,0.881,
2012-10,0.880,
2013-01,0.887,
2013-04,0.888,
2013-07,0.911,
2013-10,0.902,
2014-01,0.902,
2014-04,0.904,
2014-07,0.914,
