"",BBK01.OEAH95J,BBK01.OEAH95J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:25:28,
2002-01,0.096,
2002-04,0.089,
2002-07,0.089,
2002-10,0.087,
2003-01,0.088,
2003-04,0.088,
2003-07,0.088,
2003-10,0.087,
2004-01,0.082,
2004-04,0.080,
2004-07,0.084,
2004-10,0.084,
2005-01,0.082,
2005-04,0.079,
2005-07,0.076,
2005-10,0.079,
2006-01,0.080,
2006-04,0.079,
2006-07,0.079,
2006-10,0.077,
2007-01,0.080,
2007-04,0.078,
2007-07,0.083,
2007-10,0.086,
2008-01,0.086,
2008-04,0.083,
2008-07,0.079,
2008-10,0.086,
2009-01,0.086,
2009-04,0.082,
2009-07,0.086,
2009-10,0.087,
2010-01,0.086,
2010-04,0.092,
2010-07,0.088,
2010-10,0.089,
2011-01,0.088,
2011-04,0.091,
2011-07,0.089,
2011-10,0.094,
2012-01,0.096,
2012-04,0.097,
2012-07,0.098,
2012-10,0.089,
2013-01,0.085,
2013-04,0.087,
2013-07,0.084,
2013-10,0.083,
2014-01,0.079,
2014-04,0.075,
2014-07,0.075,
