"",BBK01.OECK02G,BBK01.OECK02G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:08:42,
2002-01,0.621,
2002-04,0.784,
2002-07,0.845,
2002-10,0.770,
2003-01,0.749,
2003-04,0.743,
2003-07,0.803,
2003-10,0.724,
2004-01,0.787,
2004-04,0.825,
2004-07,0.709,
2004-10,0.711,
2005-01,0.912,
2005-04,0.883,
2005-07,0.901,
2005-10,0.964,
2006-01,0.915,
2006-04,0.876,
2006-07,0.919,
2006-10,0.874,
2007-01,0.922,
2007-04,0.941,
2007-07,0.967,
2007-10,1.041,
2008-01,0.957,
2008-04,0.910,
2008-07,0.930,
2008-10,1.075,
2009-01,1.276,
2009-04,1.260,
2009-07,1.313,
2009-10,1.367,
2010-01,1.354,
2010-04,1.412,
2010-07,1.361,
2010-10,1.648,
2011-01,1.531,
2011-04,1.523,
2011-07,1.442,
2011-10,1.450,
2012-01,1.539,
2012-04,1.598,
2012-07,1.787,
2012-10,1.762,
2013-01,1.692,
2013-04,1.775,
2013-07,2.039,
2013-10,2.015,
2014-01,1.914,
2014-04,1.856,
2014-07,1.920,
