"",BBK01.OEAA22P,BBK01.OEAA22P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:18:55,
2002-01,0.529,
2002-04,0.522,
2002-07,0.531,
2002-10,0.505,
2003-01,0.479,
2003-04,0.503,
2003-07,0.518,
2003-10,0.528,
2004-01,0.512,
2004-04,0.557,
2004-07,0.544,
2004-10,0.603,
2005-01,0.632,
2005-04,0.643,
2005-07,0.581,
2005-10,0.566,
2006-01,0.599,
2006-04,0.598,
2006-07,0.612,
2006-10,0.663,
2007-01,0.647,
2007-04,0.637,
2007-07,0.647,
2007-10,0.703,
2008-01,0.721,
2008-04,0.753,
2008-07,0.797,
2008-10,0.793,
2009-01,0.780,
2009-04,0.807,
2009-07,0.863,
2009-10,0.860,
2010-01,0.857,
2010-04,0.704,
2010-07,0.748,
2010-10,0.774,
2011-01,0.794,
2011-04,0.854,
2011-07,0.961,
2011-10,0.973,
2012-01,1.021,
2012-04,1.126,
2012-07,1.079,
2012-10,1.129,
2013-01,1.122,
2013-04,1.103,
2013-07,1.164,
2013-10,1.196,
2014-01,1.152,
2014-04,1.139,
2014-07,1.164,
