"",BBSF2.M.1.T.00000.DAK01.I.F.AKT.DE.00000.000000.Z01.00,BBSF2.M.1.T.00000.DAK01.I.F.AKT.DE.00000.000000.Z01.00_FLAGS
"",Funds total / Funds-of-funds: Equity funds / Shares / Germany,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:47:26,
2009-09,11,
2009-10,10,
2009-11,12,
2009-12,13,
2010-01,11,
2010-02,11,
2010-03,12,
2010-04,12,
2010-05,13,
2010-06,13,
2010-07,12,
2010-08,10,
2010-09,11,
2010-10,12,
2010-11,12,
2010-12,12,
2011-01,12,
2011-02,12,
2011-03,12,
2011-04,13,
2011-05,13,
2011-06,12,
2011-07,11,
2011-08,9,
2011-09,9,
2011-10,9,
2011-11,9,
2011-12,9,
2012-01,10,
2012-02,9,
2012-03,9,
2012-04,9,
2012-05,9,
2012-06,9,
2012-07,9,
2012-08,10,
2012-09,10,
2012-10,11,
2012-11,10,
2012-12,10,
2013-01,10,
2013-02,10,
2013-03,10,
2013-04,10,
2013-05,10,
2013-06,9,
2013-07,9,
2013-08,7,
2013-09,7,
2013-10,6,
2013-11,7,
2013-12,7,
2014-01,7,
2014-02,8,
2014-03,8,
2014-04,8,
2014-05,8,
2014-06,8,
2014-07,8,
2014-08,8,
2014-09,8,
2014-10,8,
2014-11,9,
