"",BBAI3.Q.DE.N.V.LE.T.S1252.A1.S.2.N.E.Z,BBAI3.Q.DE.N.V.LE.T.S1252.A1.S.2.N.E.Z_FLAGS
"",Liabilities / Pension undertakings / Total assets / liabilities / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:28:15,
2005-10,259307,
2006-01,264649,
2006-04,267512,
2006-07,275934,
2006-10,282264,
2007-01,287959,
2007-04,295226,
2007-07,302398,
2007-10,312121,
2008-01,309924,
2008-04,310651,
2008-07,311998,
2008-10,315864,
2009-01,320474,
2009-04,329607,
2009-07,340421,
2009-10,346470,
2010-01,355043,
2010-04,362039,
2010-07,372020,
2010-10,408536,
2011-01,410752,
2011-04,415448,
2011-07,419526,
2011-10,426620,
2012-01,437691,
2012-04,442584,
2012-07,453649,
2012-10,462754,
2013-01,470260,
2013-04,470907,
2013-07,477008,
2013-10,493340,
2014-01,501460,
2014-04,513629,
2014-07,521304,
