"",BBK01.OEYB07N,BBK01.OEYB07N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:33:28,
2002-01,8.711,
2002-04,7.503,
2002-07,8.397,
2002-10,9.085,
2003-01,12.910,
2003-04,11.837,
2003-07,12.380,
2003-10,9.803,
2004-01,10.427,
2004-04,9.829,
2004-07,9.917,
2004-10,9.711,
2005-01,9.787,
2005-04,9.963,
2005-07,11.111,
2005-10,12.331,
2006-01,12.656,
2006-04,12.769,
2006-07,13.377,
2006-10,13.140,
2007-01,13.609,
2007-04,15.425,
2007-07,16.224,
2007-10,16.192,
2008-01,17.013,
2008-04,17.050,
2008-07,12.191,
2008-10,12.014,
2009-01,12.024,
2009-04,12.755,
2009-07,13.516,
2009-10,13.590,
2010-01,13.219,
2010-04,13.281,
2010-07,13.305,
2010-10,13.471,
2011-01,14.005,
2011-04,13.446,
2011-07,13.406,
2011-10,14.012,
2012-01,15.083,
2012-04,14.841,
2012-07,13.442,
2012-10,12.139,
2013-01,11.669,
2013-04,11.199,
2013-07,10.471,
2013-10,10.184,
2014-01,9.602,
2014-04,9.603,
2014-07,9.188,
