"",BBK01.OELM05L,BBK01.OELM05L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:42:52,
2002-01,0.016,
2002-04,0.026,
2002-07,0.025,
2002-10,0.025,
2003-01,0.025,
2003-04,0.026,
2003-07,0.026,
2003-10,0.024,
2004-01,0.027,
2004-04,0.028,
2004-07,0.028,
2004-10,0.029,
2005-01,0.029,
2005-04,0.011,
2005-07,0.011,
2005-10,0.011,
2006-01,0.013,
2006-04,0.014,
2006-07,0.013,
2006-10,0.013,
2007-01,0.010,
2007-04,0.008,
2007-07,0.006,
2007-10,0.006,
2008-01,0.002,
2008-04,0.001,
2008-07,0.001,
2008-10,-,Nothing exists
2009-01,0.004,
2009-04,0.004,
2009-07,0.009,
2009-10,0.009,
2010-01,0.009,
2010-04,0.009,
2010-07,0.019,
2010-10,0.019,
2011-01,0.022,
2011-04,0.021,
2011-07,0.027,
2011-10,0.027,
2012-01,0.029,
2012-04,0.034,
2012-07,0.030,
2012-10,0.031,
2013-01,0.027,
2013-04,0.037,
2013-07,0.027,
2013-10,0.025,
2014-01,0.025,
2014-04,0.024,
2014-07,0.022,
