"",BBK01.OEAB10R,BBK01.OEAB10R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:37:18,
2002-01,1.283,
2002-04,1.297,
2002-07,1.363,
2002-10,1.390,
2003-01,1.397,
2003-04,1.323,
2003-07,1.279,
2003-10,1.204,
2004-01,1.231,
2004-04,1.280,
2004-07,1.287,
2004-10,1.218,
2005-01,1.135,
2005-04,1.182,
2005-07,1.099,
2005-10,1.004,
2006-01,0.935,
2006-04,0.934,
2006-07,0.849,
2006-10,0.816,
2007-01,0.844,
2007-04,0.846,
2007-07,0.794,
2007-10,0.760,
2008-01,1.006,
2008-04,0.717,
2008-07,0.723,
2008-10,0.745,
2009-01,0.765,
2009-04,0.773,
2009-07,0.795,
2009-10,0.761,
2010-01,0.727,
2010-04,0.748,
2010-07,0.668,
2010-10,0.606,
2011-01,0.656,
2011-04,0.659,
2011-07,0.611,
2011-10,0.633,
2012-01,0.622,
2012-04,0.676,
2012-07,0.650,
2012-10,0.654,
2013-01,0.708,
2013-04,0.687,
2013-07,0.644,
2013-10,0.635,
2014-01,0.666,
2014-04,0.698,
2014-07,0.645,
