"",BBNZ1.Q.DE.N.H.0934.A,BBNZ1.Q.DE.N.H.0934.A_FLAGS
"","Germany / National accounts / Unit labour costs per hour / Wholesale/retail trade, transport and storage, hotel and restaurant services",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-24 08:20:59,
1991-01,83.17,
1991-04,81.03,
1991-07,92.20,
1991-10,97.02,
1992-01,92.46,
1992-04,90.68,
1992-07,100.36,
1992-10,104.11,
1993-01,101.90,
1993-04,96.66,
1993-07,105.03,
1993-10,111.71,
1994-01,104.09,
1994-04,98.52,
1994-07,105.68,
1994-10,110.18,
1995-01,104.57,
1995-04,99.49,
1995-07,108.16,
1995-10,113.80,
1996-01,108.46,
1996-04,100.33,
1996-07,108.76,
1996-10,114.21,
1997-01,108.29,
1997-04,99.44,
1997-07,107.83,
1997-10,112.93,
1998-01,102.73,
1998-04,99.43,
1998-07,106.87,
1998-10,112.82,
1999-01,105.47,
1999-04,101.42,
1999-07,108.60,
1999-10,113.44,
2000-01,104.41,
2000-04,98.72,
2000-07,107.25,
2000-10,114.34,
2001-01,100.72,
2001-04,96.60,
2001-07,105.23,
2001-10,110.22,
2002-01,100.86,
2002-04,95.15,
2002-07,102.37,
2002-10,108.17,
2003-01,100.54,
2003-04,94.34,
2003-07,99.19,
2003-10,106.03,
2004-01,97.17,
2004-04,91.51,
2004-07,98.08,
2004-10,103.68,
2005-01,96.45,
2005-04,89.71,
2005-07,95.34,
2005-10,101.21,
2006-01,88.95,
2006-04,84.36,
2006-07,90.51,
2006-10,93.83,
2007-01,87.84,
2007-04,83.62,
2007-07,88.86,
2007-10,94.85,
2008-01,87.71,
2008-04,84.28,
2008-07,91.89,
2008-10,101.18,
2009-01,95.96,
2009-04,91.73,
2009-07,96.63,
2009-10,104.02,
2010-01,99.64,
2010-04,94.51,
2010-07,98.83,
2010-10,106.88,
2011-01,95.95,
2011-04,92.65,
2011-07,99.18,
2011-10,107.84,
2012-01,100.28,
2012-04,98.21,
2012-07,106.24,
2012-10,114.45,
2013-01,105.48,
2013-04,100.57,
2013-07,106.52,
2013-10,115.83,
2014-01,106.68,
2014-04,102.69,
2014-07,109.09,
2014-10,117.97,
