"",BBK01.OEHB12G,BBK01.OEHB12G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:25:06,
2002-01,12.169,
2002-04,12.249,
2002-07,12.643,
2002-10,12.648,
2003-01,12.711,
2003-04,12.721,
2003-07,12.792,
2003-10,12.848,
2004-01,12.763,
2004-04,12.778,
2004-07,12.965,
2004-10,13.051,
2005-01,12.967,
2005-04,13.113,
2005-07,13.167,
2005-10,13.333,
2006-01,13.337,
2006-04,13.509,
2006-07,13.653,
2006-10,13.931,
2007-01,14.042,
2007-04,14.207,
2007-07,14.661,
2007-10,14.986,
2008-01,15.238,
2008-04,15.753,
2008-07,16.474,
2008-10,16.732,
2009-01,16.531,
2009-04,16.786,
2009-07,17.159,
2009-10,17.492,
2010-01,17.396,
2010-04,17.620,
2010-07,17.884,
2010-10,18.224,
2011-01,18.247,
2011-04,18.426,
2011-07,18.707,
2011-10,19.367,
2012-01,19.369,
2012-04,19.459,
2012-07,19.866,
2012-10,20.277,
2013-01,19.919,
2013-04,20.156,
2013-07,20.539,
2013-10,20.909,
2014-01,21.028,
2014-04,21.278,
2014-07,21.647,
