"",BBK01.WXI020,BBK01.WXI020_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:39:37,
2009-09,40,
2009-10,48,
2009-11,83,
2009-12,108,
2010-01,101,
2010-02,103,
2010-03,85,
2010-04,112,
2010-05,131,
2010-06,104,
2010-07,120,
2010-08,147,
2010-09,136,
2010-10,141,
2010-11,154,
2010-12,138,
2011-01,147,
2011-02,157,
2011-03,143,
2011-04,188,
2011-05,189,
2011-06,288,
2011-07,299,
2011-08,423,
2011-09,357,
2011-10,394,
2011-11,363,
2011-12,257,
2012-01,291,
2012-02,357,
2012-03,277,
2012-04,435,
2012-05,363,
2012-06,249,
2012-07,283,
2012-08,389,
2012-09,371,
2012-10,344,
2012-11,369,
2012-12,956,
2013-01,1014,
2013-02,951,
2013-03,974,
2013-04,993,
2013-05,1053,
2013-06,966,
2013-07,1016,
2013-08,1050,
2013-09,1071,
2013-10,1039,
2013-11,1047,
2013-12,1032,
2014-01,1030,
2014-02,1068,
2014-03,1107,
2014-04,1116,
2014-05,1205,
2014-06,1122,
2014-07,1205,
2014-08,1255,
2014-09,1216,
2014-10,1246,
2014-11,1375,
