"",BBSF2.M.1.T.00000.IMM01.I.F.BGG.DE.00000.000000.Z01.00,BBSF2.M.1.T.00000.IMM01.I.F.BGG.DE.00000.000000.Z01.00_FLAGS
"",Funds total / Real estate funds / Participations in real estate companies / Germany,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:38:55,
2009-09,5611,
2009-10,5669,
2009-11,5695,
2009-12,5968,
2010-01,6055,
2010-02,6222,
2010-03,6265,
2010-04,6227,
2010-05,6343,
2010-06,6356,
2010-07,6352,
2010-08,6365,
2010-09,6318,
2010-10,6381,
2010-11,6494,
2010-12,6497,
2011-01,6514,
2011-02,6522,
2011-03,6626,
2011-04,6581,
2011-05,6641,
2011-06,6552,
2011-07,6586,
2011-08,6595,
2011-09,6579,
2011-10,6659,
2011-11,6701,
2011-12,6762,
2012-01,6982,
2012-02,6995,
2012-03,6959,
2012-04,6260,
2012-05,6266,
2012-06,6332,
2012-07,6367,
2012-08,6383,
2012-09,6389,
2012-10,6116,
2012-11,6133,
2012-12,6100,
2013-01,6202,
2013-02,6328,
2013-03,6547,
2013-04,6342,
2013-05,6327,
2013-06,6919,
2013-07,7012,
2013-08,7044,
2013-09,7095,
2013-10,7118,
2013-11,7026,
2013-12,7809,
2014-01,7962,
2014-02,7960,
2014-03,8003,
2014-04,7872,
2014-05,8005,
2014-06,8287,
2014-07,8624,
2014-08,8946,
2014-09,8321,
2014-10,8250,
2014-11,8674,
