"",BBK01.OEXB20U,BBK01.OEXB20U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:41:29,
2002-01,1.317,
2002-04,1.342,
2002-07,1.353,
2002-10,1.490,
2003-01,1.522,
2003-04,1.574,
2003-07,1.617,
2003-10,1.644,
2004-01,1.670,
2004-04,1.627,
2004-07,1.646,
2004-10,1.623,
2005-01,1.645,
2005-04,1.602,
2005-07,1.700,
2005-10,1.623,
2006-01,1.611,
2006-04,1.645,
2006-07,1.693,
2006-10,1.760,
2007-01,1.753,
2007-04,1.737,
2007-07,1.724,
2007-10,1.841,
2008-01,1.593,
2008-04,1.511,
2008-07,1.490,
2008-10,1.479,
2009-01,1.473,
2009-04,1.456,
2009-07,1.573,
2009-10,1.582,
2010-01,1.574,
2010-04,1.550,
2010-07,1.541,
2010-10,1.539,
2011-01,1.554,
2011-04,1.557,
2011-07,1.574,
2011-10,1.575,
2012-01,1.570,
2012-04,1.579,
2012-07,1.614,
2012-10,1.611,
2013-01,1.545,
2013-04,1.565,
2013-07,1.590,
2013-10,1.606,
2014-01,1.625,
2014-04,1.603,
2014-07,1.621,
