"",BBK01.OECL05T,BBK01.OECL05T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:15:49,
2002-01,0.001,
2002-04,0.001,
2002-07,0.002,
2002-10,0.002,
2003-01,0.001,
2003-04,0.002,
2003-07,0.003,
2003-10,0.003,
2004-01,0.004,
2004-04,0.005,
2004-07,0.005,
2004-10,0.008,
2005-01,0.070,
2005-04,0.067,
2005-07,0.063,
2005-10,0.061,
2006-01,0.059,
2006-04,0.057,
2006-07,0.058,
2006-10,0.056,
2007-01,0.053,
2007-04,0.050,
2007-07,0.049,
2007-10,0.048,
2008-01,0.047,
2008-04,0.048,
2008-07,0.047,
2008-10,0.061,
2009-01,0.062,
2009-04,0.061,
2009-07,0.070,
2009-10,0.073,
2010-01,0.075,
2010-04,0.076,
2010-07,0.076,
2010-10,0.076,
2011-01,0.074,
2011-04,0.058,
2011-07,0.050,
2011-10,0.049,
2012-01,0.048,
2012-04,0.047,
2012-07,0.044,
2012-10,0.043,
2013-01,0.036,
2013-04,0.033,
2013-07,0.030,
2013-10,0.029,
2014-01,0.026,
2014-04,0.025,
2014-07,0.024,
