"",BBK01.OEAH18L,BBK01.OEAH18L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:26:10,
2002-01,36.300,
2002-04,39.529,
2002-07,41.908,
2002-10,40.934,
2003-01,40.359,
2003-04,42.760,
2003-07,45.464,
2003-10,42.915,
2004-01,40.881,
2004-04,41.052,
2004-07,39.617,
2004-10,42.377,
2005-01,41.602,
2005-04,49.410,
2005-07,52.350,
2005-10,45.979,
2006-01,54.044,
2006-04,55.533,
2006-07,62.249,
2006-10,57.599,
2007-01,61.650,
2007-04,71.417,
2007-07,74.830,
2007-10,89.321,
2008-01,91.592,
2008-04,99.869,
2008-07,100.257,
2008-10,100.665,
2009-01,92.515,
2009-04,88.955,
2009-07,77.607,
2009-10,69.674,
2010-01,67.330,
2010-04,69.914,
2010-07,68.177,
2010-10,70.623,
2011-01,64.239,
2011-04,88.933,
2011-07,85.098,
2011-10,83.384,
2012-01,75.527,
2012-04,79.146,
2012-07,73.738,
2012-10,77.434,
2013-01,79.598,
2013-04,91.426,
2013-07,55.640,
2013-10,59.773,
2014-01,60.567,
2014-04,60.715,
2014-07,63.435,
