"",BBK01.CEL4C0,BBK01.CEL4C0_FLAGS
"",Loans                                                           debtor: General government                         creditor: Total,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:47:29,
1999-01,-2.5,
1999-04,0.1,
1999-07,-5.0,
1999-10,2.1,
2000-01,19.0,
2000-04,-4.8,
2000-07,6.5,
2000-10,-27.4,
2001-01,8.9,
2001-04,-12.4,
2001-07,-1.6,
2001-10,-2.4,
2002-01,10.8,
2002-04,-20.6,
2002-07,-4.6,
2002-10,4.4,
2003-01,3.4,
2003-04,2.1,
2003-07,12.6,
2003-10,-0.9,
2004-01,11.2,
2004-04,-7.1,
2004-07,1.5,
2004-10,-5.5,
2005-01,11.4,
2005-04,-7.6,
2005-07,5.9,
2005-10,-9.7,
2006-01,7.9,
2006-04,-7.8,
2006-07,6.1,
2006-10,-11.8,
2007-01,6.2,
2007-04,0.2,
2007-07,-9.0,
2007-10,-19.0,
2008-01,22.8,
2008-04,5.6,
2008-07,-15.4,
2008-10,9.3,
2009-01,-6.4,
2009-04,0.6,
2009-07,8.3,
2009-10,-3.8,
2010-01,-2.2,
2010-04,23.6,
2010-07,3.2,
2010-10,170.7,
2011-01,-17.0,
2011-04,-22.1,
2011-07,0.6,
2011-10,0.7,
2012-01,-9.8,
2012-04,19.4,
2012-07,-14.6,
2012-10,-10.6,
2013-01,-12.9,
2013-04,2.1,
2013-07,-17.8,
2013-10,7.9,
2014-01,-19.7,
2014-04,-1.6,
2014-07,-4.3,
