"",BBK01.OELI02O,BBK01.OELI02O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:55:35,
2002-01,7.254,
2002-04,7.376,
2002-07,7.307,
2002-10,7.727,
2003-01,7.724,
2003-04,7.913,
2003-07,8.044,
2003-10,8.354,
2004-01,8.419,
2004-04,8.707,
2004-07,8.725,
2004-10,9.095,
2005-01,9.265,
2005-04,9.579,
2005-07,9.665,
2005-10,9.930,
2006-01,9.783,
2006-04,9.865,
2006-07,9.819,
2006-10,9.914,
2007-01,9.780,
2007-04,9.975,
2007-07,9.932,
2007-10,9.890,
2008-01,9.618,
2008-04,9.617,
2008-07,9.419,
2008-10,10.058,
2009-01,10.732,
2009-04,11.725,
2009-07,12.511,
2009-10,13.475,
2010-01,13.731,
2010-04,14.250,
2010-07,14.558,
2010-10,15.042,
2011-01,14.897,
2011-04,14.831,
2011-07,14.906,
2011-10,15.553,
2012-01,15.459,
2012-04,15.853,
2012-07,16.698,
2012-10,17.523,
2013-01,17.908,
2013-04,18.297,
2013-07,18.865,
2013-10,19.709,
2014-01,20.205,
2014-04,20.530,
2014-07,20.965,
