"",BBK01.OEYL05Q,BBK01.OEYL05Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:20:23,
2002-01,0.854,
2002-04,0.851,
2002-07,0.848,
2002-10,0.885,
2003-01,0.902,
2003-04,0.894,
2003-07,0.891,
2003-10,0.910,
2004-01,0.935,
2004-04,0.908,
2004-07,0.909,
2004-10,0.942,
2005-01,0.976,
2005-04,0.966,
2005-07,0.960,
2005-10,0.987,
2006-01,1.010,
2006-04,1.040,
2006-07,1.041,
2006-10,1.080,
2007-01,1.097,
2007-04,1.060,
2007-07,1.727,
2007-10,1.773,
2008-01,1.780,
2008-04,1.746,
2008-07,1.735,
2008-10,1.764,
2009-01,1.776,
2009-04,1.758,
2009-07,1.765,
2009-10,1.823,
2010-01,1.878,
2010-04,1.917,
2010-07,1.930,
2010-10,1.970,
2011-01,1.968,
2011-04,1.990,
2011-07,2.001,
2011-10,2.040,
2012-01,2.104,
2012-04,2.103,
2012-07,2.110,
2012-10,2.084,
2013-01,2.079,
2013-04,2.108,
2013-07,2.116,
2013-10,2.153,
2014-01,2.154,
2014-04,2.173,
2014-07,2.191,
