"",BBK01.OEXI09R,BBK01.OEXI09R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:57:24,
2002-01,0.303,
2002-04,0.277,
2002-07,0.306,
2002-10,0.291,
2003-01,0.256,
2003-04,0.222,
2003-07,0.204,
2003-10,0.198,
2004-01,0.189,
2004-04,0.169,
2004-07,0.156,
2004-10,0.151,
2005-01,0.164,
2005-04,0.158,
2005-07,0.135,
2005-10,0.136,
2006-01,0.148,
2006-04,0.163,
2006-07,0.181,
2006-10,0.206,
2007-01,0.299,
2007-04,0.326,
2007-07,0.362,
2007-10,0.416,
2008-01,0.456,
2008-04,0.484,
2008-07,0.516,
2008-10,0.644,
2009-01,0.615,
2009-04,0.593,
2009-07,0.577,
2009-10,0.497,
2010-01,0.419,
2010-04,0.402,
2010-07,0.385,
2010-10,0.439,
2011-01,0.506,
2011-04,0.526,
2011-07,0.539,
2011-10,0.537,
2012-01,0.511,
2012-04,0.508,
2012-07,0.484,
2012-10,0.430,
2013-01,0.373,
2013-04,0.334,
2013-07,0.315,
2013-10,0.303,
2014-01,0.292,
2014-04,0.280,
2014-07,0.327,
