"",BBK01.BQ2120,BBK01.BQ2120_FLAGS
"",Budgetary position of social security funds (Germany as a whole) - total expenditure,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-16 16:35:11,
1991-01,61326,
1991-04,64326,
1991-07,66304,
1991-10,68888,
1992-01,74110,
1992-04,77198,
1992-07,78133,
1992-10,81655,
1993-01,81129,
1993-04,82805,
1993-07,84784,
1993-10,87313,
1994-01,86465,
1994-04,87708,
1994-07,89431,
1994-10,91281,
1995-01,91197,
1995-04,94294,
1995-07,95045,
1995-10,98874,
1996-01,97476,
1996-04,99633,
1996-07,100315,
1996-10,103596,
1997-01,100387,
1997-04,101223,
1997-07,100684,
1997-10,103484,
1998-01,100102,
1998-04,103653,
1998-07,102381,
1998-10,106817,
1999-01,104210,
1999-04,105928,
1999-07,105470,
1999-10,108860,
2000-01,106487,
2000-04,107666,
2000-07,108142,
2000-10,111519,
2001-01,109678,
2001-04,111817,
2001-07,111853,
2001-10,114522,
2002-01,112813,
2002-04,115598,
2002-07,116554,
2002-10,119952,
2003-01,116833,
2003-04,118375,
2003-07,117804,
2003-10,120422,Provisional value
2004-01,116787,Provisional value
2004-04,116417,Provisional value
2004-07,116028,Provisional value
2004-10,118673,Provisional value
2005-01,117467,Provisional value
2005-04,118229,Provisional value
2005-07,116963,Provisional value
2005-10,118336,Provisional value
2006-01,116551,Provisional value
2006-04,117122,Provisional value
2006-07,115226,Provisional value
2006-10,117229,Provisional value
2007-01,115589,Provisional value
2007-04,116305,Provisional value
2007-07,115630,Provisional value
2007-10,117813,Provisional value
2008-01,119426,Provisional value
2008-04,120094,Provisional value
2008-07,118876,Provisional value
2008-10,121715,Provisional value
2009-01,122340,Provisional value
2009-04,125476,Provisional value
2009-07,127631,Provisional value
2009-10,130053,Provisional value
2010-01,127632,Provisional value
2010-04,127309,Provisional value
2010-07,125606,Provisional value
2010-10,131799,Provisional value
2011-01,127197,Provisional value
2011-04,126213,Provisional value
2011-07,125824,Provisional value
2011-10,131957,Provisional value
2012-01,128497,Provisional value
2012-04,127995,Provisional value
2012-07,128939,Provisional value
2012-10,133282,Provisional value
2013-01,132342,Provisional value
2013-04,132596,Provisional value
2013-07,132601,Provisional value
2013-10,134221,Provisional value
2014-01,136102,Provisional value
2014-04,135818,Provisional value
"",General: For Germany as a whole (excluding supplementary pension funds for public sector employees),
