"",BBK01.OEAD02L,BBK01.OEAD02L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:58:51,
2002-01,2.990,
2002-04,2.767,
2002-07,2.673,
2002-10,2.682,
2003-01,2.513,
2003-04,2.421,
2003-07,2.513,
2003-10,2.240,
2004-01,2.087,
2004-04,1.631,
2004-07,1.949,
2004-10,1.764,
2005-01,1.688,
2005-04,3.349,
2005-07,3.136,
2005-10,3.474,
2006-01,3.439,
2006-04,4.410,
2006-07,4.080,
2006-10,3.275,
2007-01,5.634,
2007-04,4.598,
2007-07,3.751,
2007-10,3.277,
2008-01,3.656,
2008-04,4.658,
2008-07,4.369,
2008-10,3.384,
2009-01,3.020,
2009-04,3.076,
2009-07,3.036,
2009-10,2.488,
2010-01,1.926,
2010-04,1.935,
2010-07,1.793,
2010-10,1.495,
2011-01,1.638,
2011-04,1.558,
2011-07,1.414,
2011-10,1.439,
2012-01,1.585,
2012-04,1.697,
2012-07,1.806,
2012-10,1.783,
2013-01,1.667,
2013-04,1.579,
2013-07,1.674,
2013-10,1.652,
2014-01,1.640,
2014-04,1.697,
2014-07,1.592,
