"",BBFN1.M.DE.N.1.A.W1.S1P.F0.L.B000.EUR.BGA.X001.D,BBFN1.M.DE.N.1.A.W1.S1P.F0.L.B000.EUR.BGA.X001.D_FLAGS
"",Long-term claims of enterprises on foreign banks arising from financial operations / Deutsche Mark/Euro / All countries,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:06:01,
1971-12,0.110,
1972-01,0.146,
1972-02,0.117,
1972-03,0.124,
1972-04,0.109,
1972-05,0.094,
1972-06,0.097,
1972-07,0.104,
1972-08,0.099,
1972-09,0.098,
1972-10,0.097,
1972-11,0.098,
1972-12,0.100,
1973-01,0.098,
1973-02,0.093,
1973-03,0.097,
1973-04,0.081,
1973-05,0.069,
1973-06,0.062,
1973-07,0.061,
1973-08,0.059,
1973-09,0.059,
1973-10,0.059,
1973-11,0.058,
1973-12,0.061,
1974-01,0.062,
1974-02,0.061,
1974-03,0.063,
1974-04,0.064,
1974-05,0.069,
1974-06,0.069,
1974-07,0.069,
1974-08,0.041,
1974-09,0.040,
1974-10,0.035,
1974-11,0.034,
1974-12,0.034,
1975-01,0.041,
1975-02,0.042,
1975-03,0.041,
1975-04,0.036,
1975-05,0.034,
1975-06,0.038,
1975-07,0.047,
1975-08,0.051,
1975-09,0.062,
1975-10,0.067,
1975-11,0.069,
1975-12,0.070,
1976-01,0.073,
1976-02,0.074,
1976-03,0.075,
1976-04,0.078,
1976-05,0.079,
1976-06,0.069,
1976-07,0.070,
1976-08,0.067,
1976-09,0.052,
1976-10,0.048,
1976-11,0.054,
1976-12,0.056,
1977-01,0.056,
1977-02,0.056,
1977-03,0.055,
1977-04,0.056,
1977-05,0.059,
1977-06,0.058,
1977-07,0.054,
1977-08,0.055,
1977-09,0.056,
1977-10,0.053,
1977-11,0.058,
1977-12,0.062,
1978-01,0.067,
1978-02,0.069,
1978-03,0.085,
1978-04,0.086,
1978-05,0.085,
1978-06,0.096,
1978-07,0.094,
1978-08,0.095,
1978-09,0.094,
1978-10,0.094,
1978-11,0.094,
1978-12,0.096,
1979-01,0.101,
1979-02,0.097,
1979-03,0.099,
1979-04,0.098,
1979-05,0.098,
1979-06,0.257,
1979-07,0.260,
1979-08,0.258,
1979-09,0.209,
1979-10,0.202,
1979-11,0.208,
1979-12,0.187,
1980-01,0.297,
1980-02,0.301,
1980-03,0.305,
1980-04,0.317,
1980-05,0.324,
1980-06,0.330,
1980-07,0.342,
1980-08,0.277,
1980-09,0.282,
1980-10,0.295,
1980-11,0.296,
1980-12,0.313,
1981-01,0.316,
1981-02,0.315,
1981-03,0.303,
1981-04,0.290,
1981-05,0.298,
1981-06,0.298,
1981-07,0.308,
1981-08,0.306,
1981-09,0.304,
1981-10,0.302,
1981-11,0.310,
1981-12,0.318,
1982-01,0.315,
1982-02,0.311,
1982-03,0.316,
1982-04,0.323,
1982-05,0.320,
1982-06,0.319,
1982-07,0.323,
1982-08,0.321,
1982-09,0.343,
1982-10,0.348,
1982-11,0.346,
1982-12,0.359,
1983-01,0.332,
1983-02,0.343,
1983-03,0.460,
1983-04,0.457,
1983-05,0.462,
1983-06,0.472,
1983-07,0.478,
1983-08,0.480,
1983-09,0.473,
1983-10,0.484,
1983-11,0.514,
1983-12,0.509,
1984-01,0.519,
1984-02,0.535,
1984-03,0.576,
1984-04,0.618,
1984-05,0.622,
1984-06,0.639,
1984-07,0.634,
1984-08,0.680,
1984-09,0.691,
1984-10,0.722,
1984-11,0.776,
1984-12,0.782,
1985-01,0.834,
1985-02,0.822,
1985-03,0.736,
1985-04,0.727,
1985-05,0.711,
1985-06,0.684,
1985-07,0.700,
1985-08,0.700,
1985-09,0.681,
1985-10,0.658,
1985-11,0.656,
1985-12,0.637,
1986-01,0.665,
1986-02,0.688,
1986-03,0.685,
1986-04,0.801,
1986-05,0.802,
1986-06,0.813,
1986-07,0.894,
1986-08,0.897,
1986-09,0.892,
1986-10,0.885,
1986-11,0.887,
1986-12,0.870,
1987-01,0.870,
1987-02,0.849,
1987-03,0.850,
1987-04,0.783,
1987-05,0.788,
1987-06,0.733,
1987-07,0.710,
1987-08,0.716,
1987-09,0.738,
1987-10,0.827,
1987-11,0.870,
1987-12,0.812,
1988-01,0.841,
1988-02,0.957,
1988-03,1.007,
1988-04,1.091,
1988-05,1.178,
1988-06,1.168,
1988-07,1.040,
1988-08,1.037,
1988-09,0.992,
1988-10,0.868,
1988-11,0.869,
1988-12,0.831,
1989-01,0.825,
1989-02,0.829,
1989-03,0.830,
1989-04,0.830,
1989-05,0.857,
1989-06,0.867,
1989-07,0.861,
1989-08,0.865,
1989-09,0.866,
1989-10,0.895,
1989-11,0.929,
1989-12,0.961,
1990-01,1.034,
1990-02,1.030,
1990-03,1.025,
1990-04,1.048,
1990-05,1.137,
1990-06,1.141,
1990-07,1.317,
1990-08,1.332,
1990-09,1.333,
1990-10,1.310,
1990-11,1.314,
1990-12,1.231,
1991-01,1.276,
1991-02,1.273,
1991-03,1.304,
1991-04,1.463,
1991-05,1.479,
1991-06,1.394,
