"",BBK01.CEH72Q,BBK01.CEH72Q_FLAGS
"",Other libabilities (consolidated) debtor: Domestic financial corporations                    creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:16:12,
1991-01,10.2,
1991-04,-8.9,
1991-07,20.8,
1991-10,8.0,
1992-01,13.3,
1992-04,-9.4,
1992-07,17.8,
1992-10,15.5,
1993-01,4.4,
1993-04,-10.2,
1993-07,19.7,
1993-10,13.1,
1994-01,3.4,
1994-04,-8.2,
1994-07,0.6,
1994-10,1.1,
1995-01,2.6,
1995-04,6.6,
1995-07,10.8,
1995-10,5.5,
1996-01,11.4,
1996-04,5.8,
1996-07,6.4,
1996-10,-2.5,
1997-01,14.1,
1997-04,-4.8,
1997-07,18.3,
1997-10,4.3,
1998-01,19.5,
1998-04,17.5,
1998-07,5.5,
1998-10,-15.1,
1999-01,-10.3,
1999-04,0.7,
1999-07,-7.3,
1999-10,10.7,
2000-01,11.3,
2000-04,-20.7,
2000-07,-11.2,
2000-10,-41.7,
2001-01,33.8,
2001-04,-20.6,
2001-07,-28.9,
2001-10,45.1,
2002-01,24.4,
2002-04,-15.6,
2002-07,7.3,
2002-10,16.1,
2003-01,2.1,
2003-04,-4.4,
2003-07,-32.4,
2003-10,72.7,
2004-01,9.0,
2004-04,-14.4,
2004-07,1.2,
2004-10,24.2,
2005-01,-0.8,
2005-04,-24.6,
2005-07,15.6,
2005-10,3.3,
2006-01,11.8,
2006-04,14.5,
2006-07,24.5,
2006-10,22.6,
2007-01,3.8,
2007-04,20.2,
2007-07,0.2,
2007-10,62.2,
2008-01,32.9,
2008-04,-22.7,
2008-07,-0.2,
2008-10,-4.9,
2009-01,24.3,
2009-04,-98.1,
2009-07,-7.2,
2009-10,-6.8,
2010-01,-51.1,
2010-04,17.5,
2010-07,-46.9,
2010-10,-63.2,
2011-01,-24.0,
2011-04,-1.7,
2011-07,-37.0,
2011-10,-33.3,
2012-01,1.5,
2012-04,-4.5,
2012-07,21.4,
2012-10,7.0,
2013-01,26.1,
2013-04,-16.2,
2013-07,-37.3,
2013-10,32.0,
2014-01,25.6,
