"",BBDA1.M.DE.N.IM.S.A.G4.A.V.ABA.A,BBDA1.M.DE.N.IM.S.A.G4.A.V.ABA.A_FLAGS
"","Imports / At current prices, flows / Aggregate / all goods / Other European countries (not EU ) / Unadjusted figure",
unit,DM/EURO (hypothetically euro-based),
unit multiplier,thousand,
last update,2015-02-20 10:39:32,
1993-01,2052975,
1993-02,2213217,
1993-03,2247514,
1993-04,2316720,
1993-05,2023509,
1993-06,2168241,
1993-07,2270965,
1993-08,2118422,
1993-09,2160361,
1993-10,2331137,
1993-11,2489936,
1993-12,2408575,
1994-01,2206860,
1994-02,2287002,
1994-03,2581315,
1994-04,2204952,
1994-05,2487881,
1994-06,2551495,
1994-07,2547539,
1994-08,2417827,
1994-09,2656168,
1994-10,2579433,
1994-11,2896340,
1994-12,2973191,
1995-01,2412537,
1995-02,2547449,
1995-03,3005320,
1995-04,2430172,
1995-05,2778450,
1995-06,2644624,
1995-07,2622929,
1995-08,2446734,
1995-09,2702316,
1995-10,2880889,
1995-11,2997190,
1995-12,2796022,
1996-01,2546967,
1996-02,2709767,
1996-03,2758042,
1996-04,2711768,
1996-05,2751353,
1996-06,2893217,
1996-07,2980151,
1996-08,2530179,
1996-09,3036343,
1996-10,3389714,
1996-11,3146493,
1996-12,3096546,
1997-01,3273809,
1997-02,2840786,
1997-03,3095430,
1997-04,3245868,
1997-05,2960190,
1997-06,3294799,
1997-07,3324513,
1997-08,3013989,
1997-09,3455419,
1997-10,3642297,
1997-11,3464842,
1997-12,3372591,
1998-01,3186782,
1998-02,3030969,
1998-03,3650288,
1998-04,3112733,
1998-05,3096229,
1998-06,3277887,
1998-07,3524749,
1998-08,2761399,
1998-09,3414486,
1998-10,3375574,
1998-11,3131350,
1998-12,3219965,
1999-01,2824337,
1999-02,2897438,
1999-03,3443132,
1999-04,3154517,
1999-05,2926550,
1999-06,3252651,
1999-07,3335801,
1999-08,2996540,
1999-09,3549982,
1999-10,3767886,
1999-11,3951751,
1999-12,4022803,
2000-01,3774039,
2000-02,3866525,
2000-03,4289488,
