"",BBK01.OEYO01K,BBK01.OEYO01K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:13:42,
2002-01,0.179,
2002-04,0.161,
2002-07,0.149,
2002-10,0.145,
2003-01,0.149,
2003-04,0.152,
2003-07,0.182,
2003-10,0.068,
2004-01,0.013,
2004-04,0.168,
2004-07,0.164,
2004-10,0.155,
2005-01,0.152,
2005-04,0.117,
2005-07,0.106,
2005-10,0.104,
2006-01,0.100,
2006-04,0.110,
2006-07,0.108,
2006-10,0.105,
2007-01,0.105,
2007-04,0.104,
2007-07,0.101,
2007-10,0.098,
2008-01,0.098,
2008-04,0.098,
2008-07,0.097,
2008-10,0.093,
2009-01,0.099,
2009-04,0.095,
2009-07,0.094,
2009-10,0.101,
2010-01,0.099,
2010-04,0.097,
2010-07,0.090,
2010-10,0.090,
2011-01,0.088,
2011-04,0.087,
2011-07,0.083,
2011-10,0.084,
2012-01,0.082,
2012-04,0.080,
2012-07,0.082,
2012-10,0.082,
2013-01,0.082,
2013-04,0.086,
2013-07,0.086,
2013-10,0.077,
2014-01,0.064,
2014-04,0.058,
2014-07,0.057,
