"",BBFB1.Q.N.DE.ES.S1.S1.T.A.FA.O.F.L._T._X.N,BBFB1.Q.N.DE.ES.S1.S1.T.A.FA.O.F.L._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Other investment / Long-term loans / Spain,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:42:54,
1991-01,27.535,
1991-04,233.417,
1991-07,46.700,
1991-10,-33.216,
1992-01,116.271,
1992-04,59.487,
1992-07,36.484,
1992-10,43.226,
1993-01,200.353,
1993-04,256.035,
1993-07,91.661,
1993-10,206.347,
1994-01,-92.062,
1994-04,69.946,
1994-07,46.281,
1994-10,684.029,
1995-01,15.473,
1995-04,99.594,
1995-07,36.645,
1995-10,125.293,
1996-01,16.588,
1996-04,-269.151,
1996-07,-305.506,
1996-10,112.079,
1997-01,11.700,
1997-04,53.095,
1997-07,33.558,
1997-10,149.852,
1998-01,675.647,
1998-04,-174.056,
1998-07,783.670,
1998-10,712.174,
1999-01,813.428,
1999-04,1566.630,
1999-07,63.132,
1999-10,344.539,
2000-01,180.467,
2000-04,-311.916,
2000-07,520.095,
2000-10,678.474,
2001-01,675.512,
2001-04,592.468,
2001-07,336.513,
2001-10,860.659,
2002-01,1874.102,
2002-04,531.404,
2002-07,740.934,
2002-10,1201.664,
2003-01,105.827,
2003-04,1212.734,
2003-07,908.507,
2003-10,331.133,
2004-01,-21.138,
2004-04,-927.459,
2004-07,-593.558,
2004-10,-447.919,
2005-01,412.756,
2005-04,1162.058,
2005-07,869.856,
2005-10,1946.704,
2006-01,1250.640,
2006-04,198.612,
2006-07,382.409,
2006-10,2089.720,
2007-01,324.993,
2007-04,1295.570,
2007-07,1718.830,
2007-10,998.140,
2008-01,556.780,
2008-04,310.473,
2008-07,1671.985,
2008-10,39.970,
2009-01,390.262,
2009-04,-662.070,
2009-07,402.285,
2009-10,640.931,
2010-01,512.604,
2010-04,1474.234,
2010-07,2898.353,
2010-10,-165.622,
2011-01,-993.765,
2011-04,-301.257,
2011-07,361.852,
2011-10,-1222.440,
2012-01,-622.237,
2012-04,-1688.401,
2012-07,-1405.851,
2012-10,-2650.549,
2013-01,-694.775,
2013-04,-429.149,
2013-07,-431.814,
2013-10,-285.130,
2014-01,-118.131,Provisional value
2014-04,-90.048,Provisional value
2014-07,-423.884,Provisional value
2014-10,-486.839,Provisional value
