"",BBK01.OEAD14G,BBK01.OEAD14G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:57:31,
2002-01,0.480,
2002-04,0.582,
2002-07,0.514,
2002-10,0.437,
2003-01,0.481,
2003-04,0.424,
2003-07,0.343,
2003-10,0.504,
2004-01,0.266,
2004-04,0.211,
2004-07,0.197,
2004-10,0.319,
2005-01,0.375,
2005-04,0.315,
2005-07,0.246,
2005-10,0.175,
2006-01,0.249,
2006-04,0.299,
2006-07,0.267,
2006-10,0.207,
2007-01,0.320,
2007-04,0.277,
2007-07,0.778,
2007-10,0.628,
2008-01,0.683,
2008-04,0.741,
2008-07,0.537,
2008-10,0.252,
2009-01,0.524,
2009-04,0.566,
2009-07,0.385,
2009-10,0.334,
2010-01,0.467,
2010-04,0.416,
2010-07,0.343,
2010-10,0.297,
2011-01,0.356,
2011-04,0.380,
2011-07,0.327,
2011-10,0.291,
2012-01,0.323,
2012-04,0.402,
2012-07,0.243,
2012-10,0.191,
2013-01,0.239,
2013-04,0.304,
2013-07,0.255,
2013-10,0.232,
2014-01,0.126,
2014-04,0.119,
2014-07,0.142,
