"",BBK01.OEBB12O,BBK01.OEBB12O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:33:52,
2002-01,-3.681,
2002-04,-3.923,
2002-07,-4.119,
2002-10,-4.148,
2003-01,-4.007,
2003-04,-4.221,
2003-07,-4.173,
2003-10,-4.153,
2004-01,-4.228,
2004-04,-4.328,
2004-07,-4.142,
2004-10,-3.408,
2005-01,1.091,
2005-04,1.052,
2005-07,0.983,
2005-10,0.952,
2006-01,0.932,
2006-04,0.912,
2006-07,0.878,
2006-10,0.803,
2007-01,0.804,
2007-04,0.794,
2007-07,0.756,
2007-10,0.750,
2008-01,0.751,
2008-04,0.780,
2008-07,0.838,
2008-10,0.851,
2009-01,1.669,
2009-04,1.274,
2009-07,1.254,
2009-10,1.278,
2010-01,0.918,
2010-04,0.927,
2010-07,1.092,
2010-10,1.130,
2011-01,0.921,
2011-04,0.935,
2011-07,0.901,
2011-10,0.894,
2012-01,0.914,
2012-04,0.856,
2012-07,0.842,
2012-10,0.843,
2013-01,0.825,
2013-04,0.820,
2013-07,0.783,
2013-10,0.811,
2014-01,0.828,
2014-04,0.874,
2014-07,0.881,
