"",BBK01.QUX413,BBK01.QUX413_FLAGS
"","Consolidated German banks: Claims on non-residents, total (excluding participating interests) / Remaining countries in Africa / All currencies",
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-02 08:35:16,
2002-03,1.349,
2002-04,1.277,
2002-05,1.239,
2002-06,1.196,
2002-07,1.185,
2002-08,1.183,
2002-09,1.172,
2002-10,1.198,
2002-11,1.158,
2002-12,1.078,
2003-01,1.088,
2003-02,1.070,
2003-03,0.975,
2003-04,1.086,
2003-05,1.098,
2003-06,1.020,
2003-07,1.026,
2003-08,0.998,
2003-09,0.963,
2003-10,0.972,
2003-11,0.952,
2003-12,0.947,
2004-01,0.916,
2004-02,0.918,
2004-03,0.915,
2004-04,0.885,
2004-05,0.872,
2004-06,0.909,
2004-07,0.937,
2004-08,0.925,
2004-09,0.914,
2004-10,0.921,
2004-11,0.928,
2004-12,0.895,
2005-01,0.891,
2005-02,0.960,
2005-03,0.901,
2005-04,0.997,
2005-05,0.949,
2005-06,0.999,
2005-07,0.997,
2005-08,0.901,
2005-09,0.929,
2005-10,0.898,
2005-11,1.255,
2005-12,1.272,
2006-01,1.277,
2006-02,1.297,
2006-03,1.276,
2006-04,1.247,
2006-05,1.297,
2006-06,1.819,
2006-07,2.192,
2006-08,2.251,
2006-09,2.398,
2006-10,2.533,
2006-11,2.553,
2006-12,2.767,
2007-01,3.010,
2007-02,1.459,
2007-03,3.063,
2007-04,3.344,
2007-05,3.635,
2007-06,3.929,
2007-07,4.266,
2007-08,4.381,
2007-09,4.705,
2007-10,5.125,
2007-11,5.133,
2007-12,5.360,
2008-01,5.004,
2008-02,4.782,
2008-03,4.457,
2008-04,4.719,
2008-05,4.453,
2008-06,4.160,
2008-07,4.397,
2008-08,4.340,
2008-09,4.469,
2008-10,4.330,
2008-11,3.695,
2008-12,4.360,
2009-01,3.894,
2009-02,3.830,
2009-03,3.683,
2009-04,3.882,
2009-05,4.354,
2009-06,4.113,
2009-07,2.788,
2009-08,4.115,
2009-09,4.122,
2009-10,4.000,
2009-11,4.282,
2009-12,2.711,
2010-01,2.464,
2010-02,5.018,
2010-03,5.054,
2010-04,5.137,
2010-05,4.998,
2010-06,5.282,
2010-07,5.160,
2010-08,5.345,
2010-09,5.987,
2010-10,2.758,
2010-11,6.346,
2010-12,5.716,
2011-01,4.859,
2011-02,2.194,
2011-03,4.580,
2011-04,4.601,
2011-05,4.491,
2011-06,4.002,
2011-07,4.012,
2011-08,3.846,
2011-09,3.713,
2011-10,3.695,
2011-11,3.472,
2011-12,2.311,
2012-01,3.787,
2012-02,4.435,
2012-03,5.089,
2012-04,4.974,
2012-05,4.323,
2012-06,3.772,
2012-07,3.395,
2012-08,3.298,
2012-09,4.826,
2012-10,3.968,
2012-11,3.820,
2012-12,3.661,
2013-01,3.367,
2013-02,3.394,
2013-03,3.906,
2013-04,3.302,
2013-05,3.210,
2013-06,2.994,
2013-07,2.775,
2013-08,2.405,
2013-09,3.005,
2013-10,2.533,
2013-11,2.425,
2013-12,2.449,
2014-01,2.444,
2014-02,2.422,
2014-03,2.447,
2014-04,2.242,
2014-05,2.396,
2014-06,2.305,
2014-07,2.544,
2014-08,2.333,
2014-09,2.082,
2014-10,2.385,
