"",BBK01.OEAE18M,BBK01.OEAE18M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:04:25,
2002-01,0.629,
2002-04,0.613,
2002-07,0.601,
2002-10,0.577,
2003-01,0.485,
2003-04,0.496,
2003-07,0.495,
2003-10,0.483,
2004-01,0.472,
2004-04,0.455,
2004-07,0.457,
2004-10,0.459,
2005-01,0.485,
2005-04,0.483,
2005-07,0.478,
2005-10,0.443,
2006-01,0.494,
2006-04,0.426,
2006-07,0.419,
2006-10,0.465,
2007-01,0.426,
2007-04,0.445,
2007-07,0.416,
2007-10,0.508,
2008-01,0.508,
2008-04,0.446,
2008-07,0.472,
2008-10,0.443,
2009-01,0.362,
2009-04,0.367,
2009-07,0.397,
2009-10,0.359,
2010-01,0.394,
2010-04,0.350,
2010-07,0.349,
2010-10,0.312,
2011-01,0.312,
2011-04,0.292,
2011-07,0.291,
2011-10,0.264,
2012-01,0.278,
2012-04,0.267,
2012-07,0.295,
2012-10,0.281,
2013-01,0.314,
2013-04,0.272,
2013-07,0.243,
2013-10,0.256,
2014-01,0.257,
2014-04,0.276,
2014-07,0.480,
