"",BBSF2.M.1.P.00000.TOT01.I.F.SVG.FI.00000.F03300.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.SVG.FI.00000.F03300.Z01.00_FLAGS
"",Public funds / Funds total / Debt securities total / Finland,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:44:37,
2009-09,466,
2009-10,463,
2009-11,569,
2009-12,593,
2010-01,659,
2010-02,738,
2010-03,744,
2010-04,806,
2010-05,812,
2010-06,853,
2010-07,843,
2010-08,895,
2010-09,858,
2010-10,784,
2010-11,820,
2010-12,818,
2011-01,822,
2011-02,804,
2011-03,777,
2011-04,846,
2011-05,879,
2011-06,851,
2011-07,858,
2011-08,884,
2011-09,895,
2011-10,862,
2011-11,822,
2011-12,802,
2012-01,818,
2012-02,824,
2012-03,902,
2012-04,1008,
2012-05,990,
2012-06,974,
2012-07,1010,
2012-08,1012,
2012-09,1057,
2012-10,1020,
2012-11,1042,
2012-12,1043,
2013-01,995,
2013-02,1084,
2013-03,1050,
2013-04,1033,
2013-05,999,
2013-06,975,
2013-07,952,
2013-08,1000,
2013-09,1004,
2013-10,981,
2013-11,958,
2013-12,938,
2014-01,1003,
2014-02,1045,
2014-03,1032,
2014-04,1035,
2014-05,1046,
2014-06,1048,
2014-07,1025,
2014-08,1038,
2014-09,1002,
2014-10,1014,
2014-11,1027,
