"",BBSF2.M.1.S.I1251.GEM01.I.F.ANZ.DE.00000.000000.Z01.00,BBSF2.M.1.S.I1251.GEM01.I.F.ANZ.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Mixed securities funds / Number / Life insurance corporations / Distribution and cumulative funds,
unit,Stück (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-29 10:50:19,
2009-01,0,
2009-02,0,
2009-03,0,
2009-04,0,
2009-05,0,
2009-06,0,
2009-07,0,
2009-08,0,
2009-09,60,
2009-10,60,
2009-11,60,
2009-12,58,
2010-01,59,
2010-02,58,
2010-03,58,
2010-04,56,
2010-05,55,
2010-06,56,
2010-07,55,
2010-08,55,
2010-09,54,
2010-10,54,
2010-11,53,
2010-12,50,
2011-01,50,
2011-02,50,
2011-03,50,
2011-04,50,
2011-05,50,
2011-06,51,
2011-07,51,
2011-08,51,
2011-09,51,
2011-10,51,
2011-11,50,
2011-12,50,
2012-01,47,
2012-02,51,
2012-03,52,
2012-04,52,
2012-05,52,
2012-06,52,
2012-07,52,
2012-08,52,
2012-09,54,
2012-10,54,
2012-11,55,
2012-12,55,
2013-01,55,
2013-02,53,
2013-03,53,
2013-04,53,
2013-05,52,
2013-06,52,
2013-07,53,
2013-08,53,
2013-09,52,
2013-10,51,
2013-11,51,
2013-12,50,
2014-01,50,
2014-02,50,
2014-03,50,
2014-04,50,
2014-05,49,
2014-06,49,
2014-07,46,
2014-08,54,
2014-09,54,
2014-10,53,
2014-11,53,
