"",BBK01.OEYB08L,BBK01.OEYB08L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:31:07,
2002-01,216.489,
2002-04,214.819,
2002-07,214.317,
2002-10,209.834,
2003-01,210.646,
2003-04,211.672,
2003-07,214.423,
2003-10,214.465,
2004-01,210.679,
2004-04,208.799,
2004-07,207.665,
2004-10,205.764,
2005-01,199.992,
2005-04,193.982,
2005-07,189.783,
2005-10,174.414,
2006-01,165.570,
2006-04,156.398,
2006-07,156.525,
2006-10,152.348,
2007-01,142.319,
2007-04,137.667,
2007-07,141.697,
2007-10,139.178,
2008-01,136.074,
2008-04,130.824,
2008-07,147.733,
2008-10,146.106,
2009-01,140.704,
2009-04,137.754,
2009-07,118.325,
2009-10,114.045,
2010-01,110.515,
2010-04,108.607,
2010-07,106.374,
2010-10,104.079,
2011-01,100.027,
2011-04,96.696,
2011-07,93.644,
2011-10,89.790,
2012-01,87.844,
2012-04,85.934,
2012-07,83.145,
2012-10,81.082,
2013-01,79.872,
2013-04,78.437,
2013-07,78.120,
2013-10,76.988,
2014-01,73.681,
2014-04,71.281,
2014-07,68.783,
