"",BBK01.OEHB17G,BBK01.OEHB17G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:25:08,
2002-01,43.446,
2002-04,43.553,
2002-07,43.854,
2002-10,44.169,
2003-01,44.373,
2003-04,44.848,
2003-07,45.463,
2003-10,45.784,
2004-01,45.509,
2004-04,45.520,
2004-07,45.722,
2004-10,45.722,
2005-01,45.361,
2005-04,45.628,
2005-07,46.196,
2005-10,46.640,
2006-01,46.544,
2006-04,46.936,
2006-07,47.282,
2006-10,47.347,
2007-01,47.064,
2007-04,47.011,
2007-07,47.006,
2007-10,47.070,
2008-01,46.857,
2008-04,46.815,
2008-07,46.834,
2008-10,46.703,
2009-01,46.258,
2009-04,46.134,
2009-07,46.415,
2009-10,46.536,
2010-01,46.227,
2010-04,46.529,
2010-07,46.924,
2010-10,47.278,
2011-01,47.139,
2011-04,47.497,
2011-07,47.893,
2011-10,48.121,
2012-01,48.185,
2012-04,48.492,
2012-07,48.980,
2012-10,49.365,
2013-01,49.356,
2013-04,49.641,
2013-07,50.196,
2013-10,50.428,
2014-01,50.461,
2014-04,50.859,
2014-07,51.430,
