"",BBK01.TZ5582,BBK01.TZ5582_FLAGS
"",Deposits of non-MFIs / Total / Overnight / Domestic / Financial transactions (flows) / Seasonally adjusted,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-27 09:16:45,
1999-01,8.0,
1999-02,3.8,
1999-03,0.8,
1999-04,7.5,
1999-05,6.4,
1999-06,7.4,
1999-07,2.9,
1999-08,2.9,
1999-09,3.7,
1999-10,0.2,
1999-11,2.6,
1999-12,-11.0,
2000-01,18.9,
2000-02,8.5,
2000-03,1.2,
2000-04,6.3,
2000-05,-5.9,
2000-06,-5.0,
2000-07,-1.8,
2000-08,-0.9,
2000-09,-4.3,
2000-10,1.6,
2000-11,3.1,
2000-12,1.3,
2001-01,5.6,
2001-02,11.7,
2001-03,2.6,
2001-04,4.7,
2001-05,4.6,
2001-06,6.7,
2001-07,1.2,
2001-08,10.5,
2001-09,12.5,
2001-10,4.1,
2001-11,7.0,
2001-12,8.5,
2002-01,4.8,
2002-02,-0.8,
2002-03,1.7,
2002-04,5.1,
2002-05,11.0,
2002-06,6.7,
2002-07,3.9,
2002-08,1.1,
2002-09,4.2,
2002-10,5.4,
2002-11,10.1,
2002-12,14.4,
2003-01,-5.9,
2003-02,5.4,
2003-03,10.3,
2003-04,9.4,
2003-05,4.5,
2003-06,12.5,
2003-07,-4.0,
2003-08,6.8,
2003-09,7.2,
2003-10,3.4,
2003-11,1.0,
2003-12,-0.5,
2004-01,10.8,
2004-02,2.3,
2004-03,4.8,
2004-04,7.3,
2004-05,-2.8,
2004-06,-0.5,
2004-07,0.7,
2004-08,8.0,
2004-09,4.9,
2004-10,2.1,
2004-11,6.7,
2004-12,-19.1,
2005-01,21.3,
2005-02,4.7,
2005-03,6.5,
2005-04,3.4,
2005-05,7.6,
2005-06,4.3,
2005-07,10.8,
2005-08,9.7,
2005-09,-0.3,
2005-10,4.3,
2005-11,-3.2,
2005-12,1.0,
2006-01,4.2,
2006-02,-2.4,
2006-03,9.0,
2006-04,5.2,
2006-05,10.0,
2006-06,-3.3,
2006-07,0.2,
2006-08,-0.5,
2006-09,-5.0,
2006-10,-5.7,
2006-11,6.3,
2006-12,12.5,
2007-01,1.8,
2007-02,0.3,
2007-03,3.6,
2007-04,0.2,
2007-05,5.0,
2007-06,6.5,
2007-07,13.7,
2007-08,-3.6,
2007-09,5.2,
2007-10,-8.4,
2007-11,7.0,
2007-12,-6.8,
2008-01,1.7,
2008-02,-0.4,
2008-03,4.4,
2008-04,-7.3,
2008-05,-0.8,
2008-06,5.1,
2008-07,-15.2,
2008-08,3.5,
2008-09,8.3,
2008-10,25.3,
2008-11,-1.5,
2008-12,17.7,
2009-01,45.2,
2009-02,26.1,
2009-03,4.7,
2009-04,33.0,
2009-05,-1.2,
2009-06,21.0,
2009-07,10.2,
2009-08,12.0,
2009-09,22.1,
2009-10,24.2,
2009-11,2.3,
2009-12,0.2,
2010-01,29.2,
2010-02,3.1,
2010-03,-6.3,
2010-04,31.4,
2010-05,12.9,
2010-06,7.3,
2010-07,1.2,
2010-08,6.5,
2010-09,0.6,
2010-10,-2.8,
2010-11,5.2,
2010-12,3.5,
2011-01,11.9,
2011-02,-9.8,
2011-03,11.2,
2011-04,1.6,
2011-05,0.6,
2011-06,5.2,
2011-07,2.1,
2011-08,16.6,
2011-09,1.6,
2011-10,3.5,
2011-11,8.8,
2011-12,0.4,
2012-01,5.3,
2012-02,7.3,
2012-03,16.1,
2012-04,7.9,
2012-05,13.8,
2012-06,18.9,
2012-07,11.9,
2012-08,11.7,
2012-09,19.1,
2012-10,22.6,
2012-11,5.4,
2012-12,8.9,
2013-01,15.4,
2013-02,9.5,
2013-03,7.8,
2013-04,11.8,
2013-05,10.8,
2013-06,8.8,
2013-07,15.7,
2013-08,11.2,
2013-09,7.1,
2013-10,7.0,
2013-11,2.3,
2013-12,6.7,
2014-01,7.1,
2014-02,11.6,
2014-03,4.9,
2014-04,14.2,
2014-05,9.5,
2014-06,-1.3,
2014-07,15.7,
2014-08,12.8,
2014-09,6.0,
2014-10,10.7,
2014-11,1.6,
2014-12,13.3,Provisional value
2015-01,16.1,
