"",BBK01.OEXO04M,BBK01.OEXO04M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:14:06,
2002-01,-0.107,
2002-04,-0.117,
2002-07,-0.036,
2002-10,0.014,
2003-01,0.044,
2003-04,-0.047,
2003-07,-0.072,
2003-10,-0.041,
2004-01,-0.066,
2004-04,-0.055,
2004-07,-0.060,
2004-10,0.060,
2005-01,0.028,
2005-04,-0.019,
2005-07,-0.089,
2005-10,0.005,
2006-01,-0.009,
2006-04,-0.011,
2006-07,-0.041,
2006-10,-0.025,
2007-01,0.094,
2007-04,0.041,
2007-07,0.033,
2007-10,0.124,
2008-01,0.003,
2008-04,-0.054,
2008-07,0.012,
2008-10,0.480,
2009-01,-0.035,
2009-04,-0.034,
2009-07,0.099,
2009-10,-0.253,
2010-01,-0.111,
2010-04,0.133,
2010-07,-0.015,
2010-10,0.269,
2011-01,0.412,
2011-04,-0.044,
2011-07,0.009,
2011-10,0.012,
2012-01,-0.125,
2012-04,-0.022,
2012-07,-0.073,
2012-10,-0.109,
2013-01,-0.172,
2013-04,-0.134,
2013-07,-0.032,
2013-10,-0.020,
2014-01,-0.023,
2014-04,-0.036,
2014-07,0.164,
