"",BBK01.CEH520,BBK01.CEH520_FLAGS
"",Shares and other equity debtor: Domestic financial corporationscreditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:18:20,
1991-01,6.9,
1991-04,6.1,
1991-07,4.0,
1991-10,7.4,
1992-01,10.4,
1992-04,5.4,
1992-07,0.1,
1992-10,2.9,
1993-01,11.5,
1993-04,6.0,
1993-07,6.7,
1993-10,14.7,
1994-01,22.4,
1994-04,13.4,
1994-07,7.3,
1994-10,26.3,
1995-01,1.2,
1995-04,5.3,
1995-07,8.9,
1995-10,17.8,
1996-01,17.6,
1996-04,9.3,
1996-07,5.7,
1996-10,14.6,
1997-01,25.4,
1997-04,18.4,
1997-07,19.2,
1997-10,24.9,
1998-01,29.1,
1998-04,14.5,
1998-07,23.0,
1998-10,27.5,
1999-01,30.6,
1999-04,27.7,
1999-07,19.2,
1999-10,32.7,
2000-01,27.7,
2000-04,18.1,
2000-07,18.9,
2000-10,36.4,
2001-01,28.2,
2001-04,6.8,
2001-07,17.8,
2001-10,43.8,
2002-01,21.1,
2002-04,10.7,
2002-07,17.4,
2002-10,14.1,
2003-01,19.1,
2003-04,17.3,
2003-07,7.0,
2003-10,4.4,
2004-01,4.3,
2004-04,1.3,
2004-07,-3.1,
2004-10,4.3,
2005-01,9.2,
2005-04,8.5,
2005-07,18.0,
2005-10,13.5,
2006-01,5.3,
2006-04,6.9,
2006-07,3.4,
2006-10,4.5,
2007-01,8.9,
2007-04,-1.8,
2007-07,-8.2,
2007-10,7.9,
2008-01,-3.8,
2008-04,4.1,
2008-07,7.3,
2008-10,-7.2,
2009-01,15.1,
2009-04,8.5,
2009-07,11.9,
2009-10,23.1,
2010-01,36.8,
2010-04,10.7,
2010-07,22.9,
2010-10,35.7,
2011-01,15.8,
2011-04,13.5,
2011-07,5.4,
2011-10,19.0,
2012-01,20.8,
2012-04,13.9,
2012-07,20.7,
2012-10,47.5,
2013-01,28.6,
2013-04,9.2,
2013-07,16.2,
2013-10,26.0,
2014-01,22.6,
