"",BBSF2.M.1.S.00000.DAC01.I.F.BGH.Z5.00000.000000.Z01.00,BBSF2.M.1.S.00000.DAC01.I.F.BGH.Z5.00000.000000.Z01.00_FLAGS
"",Special investors funds / Funds-of-funds / Deposits and loan claims,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:42:32,
2009-09,574,
2009-10,310,
2009-11,316,
2009-12,321,
2010-01,269,
2010-02,412,
2010-03,398,
2010-04,504,
2010-05,382,
2010-06,330,
2010-07,304,
2010-08,421,
2010-09,485,
2010-10,476,
2010-11,308,
2010-12,427,
2011-01,691,
2011-02,222,
2011-03,438,
2011-04,332,
2011-05,277,
2011-06,318,
2011-07,262,
2011-08,285,
2011-09,320,
2011-10,293,
2011-11,343,
2011-12,466,
2012-01,323,
2012-02,562,
2012-03,672,
2012-04,390,
2012-05,234,
2012-06,280,
2012-07,377,
2012-08,599,
2012-09,685,
2012-10,688,
2012-11,944,
2012-12,662,
2013-01,714,
2013-02,742,
2013-03,686,
2013-04,514,
2013-05,466,
2013-06,586,
2013-07,524,
2013-08,512,
2013-09,703,
2013-10,535,
2013-11,579,
2013-12,943,
2014-01,1003,
2014-02,743,
2014-03,708,
2014-04,668,
2014-05,548,
2014-06,668,
2014-07,738,
2014-08,770,
2014-09,753,
2014-10,716,
2014-11,612,
