"",BBK01.OECO04G,BBK01.OECO04G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:12:34,
2002-01,-0.143,
2002-04,-0.838,
2002-07,-0.031,
2002-10,0.100,
2003-01,0.008,
2003-04,0.020,
2003-07,0.303,
2003-10,-0.012,
2004-01,-0.118,
2004-04,0.011,
2004-07,0.323,
2004-10,0.051,
2005-01,-0.002,
2005-04,0.202,
2005-07,-0.097,
2005-10,-0.270,
2006-01,-0.162,
2006-04,-0.145,
2006-07,-0.174,
2006-10,-0.187,
2007-01,0.232,
2007-04,-0.106,
2007-07,-0.092,
2007-10,-,Nothing exists
2008-01,-0.005,
2008-04,0.286,
2008-07,-0.179,
2008-10,0.185,
2009-01,0.244,
2009-04,0.390,
2009-07,0.539,
2009-10,0.037,
2010-01,-0.067,
2010-04,-0.148,
2010-07,-0.033,
2010-10,0.027,
2011-01,-0.064,
2011-04,-0.164,
2011-07,-0.064,
2011-10,-0.029,
2012-01,0.695,
2012-04,-0.030,
2012-07,-0.082,
2012-10,-0.073,
2013-01,-0.328,
2013-04,-0.149,
2013-07,-0.245,
2013-10,-0.198,
2014-01,-0.180,
2014-04,-0.194,
2014-07,0.177,
