"",BBK01.OEBJ04R,BBK01.OEBJ04R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:00:27,
2002-01,0.372,
2002-04,0.354,
2002-07,0.373,
2002-10,0.360,
2003-01,0.337,
2003-04,0.365,
2003-07,0.310,
2003-10,0.316,
2004-01,0.302,
2004-04,0.254,
2004-07,0.241,
2004-10,0.257,
2005-01,0.238,
2005-04,0.195,
2005-07,0.212,
2005-10,0.215,
2006-01,0.239,
2006-04,0.271,
2006-07,0.254,
2006-10,0.244,
2007-01,0.313,
2007-04,0.363,
2007-07,0.425,
2007-10,0.498,
2008-01,0.596,
2008-04,0.567,
2008-07,0.665,
2008-10,0.526,
2009-01,0.195,
2009-04,0.160,
2009-07,0.154,
2009-10,0.130,
2010-01,0.121,
2010-04,0.113,
2010-07,0.114,
2010-10,0.132,
2011-01,0.163,
2011-04,0.166,
2011-07,0.173,
2011-10,0.611,
2012-01,0.658,
2012-04,0.755,
2012-07,0.812,
2012-10,0.801,
2013-01,0.809,
2013-04,0.810,
2013-07,0.799,
2013-10,0.719,
2014-01,0.761,
2014-04,0.748,
2014-07,0.496,
