"",BBK01.OEYL07J,BBK01.OEYL07J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:20:33,
2002-01,0.116,
2002-04,0.113,
2002-07,0.115,
2002-10,0.119,
2003-01,0.127,
2003-04,0.133,
2003-07,0.128,
2003-10,0.124,
2004-01,0.129,
2004-04,0.125,
2004-07,0.121,
2004-10,0.124,
2005-01,0.118,
2005-04,0.140,
2005-07,0.141,
2005-10,0.131,
2006-01,0.123,
2006-04,0.132,
2006-07,0.117,
2006-10,0.111,
2007-01,0.109,
2007-04,0.110,
2007-07,0.116,
2007-10,0.127,
2008-01,0.122,
2008-04,0.117,
2008-07,0.117,
2008-10,0.124,
2009-01,0.158,
2009-04,0.159,
2009-07,0.148,
2009-10,0.151,
2010-01,0.145,
2010-04,0.134,
2010-07,0.128,
2010-10,0.135,
2011-01,0.131,
2011-04,0.128,
2011-07,0.127,
2011-10,0.146,
2012-01,0.135,
2012-04,0.152,
2012-07,0.147,
2012-10,0.141,
2013-01,0.146,
2013-04,0.143,
2013-07,0.148,
2013-10,0.162,
2014-01,0.160,
2014-04,0.160,
2014-07,0.157,
