"",BBDA1.M.DE.N.EX.S.A.AT.A.V.ABA.A,BBDA1.M.DE.N.EX.S.A.AT.A.V.ABA.A_FLAGS
"","Exports / At current prices, flows / Aggregate / all goods / Austria / Unadjusted figure",
unit,DM/EURO (hypothetically euro-based),
unit multiplier,thousand,
last update,2015-02-20 10:39:15,
1990-07,1567123,
1990-08,1508507,
1990-09,1595715,
1990-10,1826111,
1990-11,1706436,
1990-12,1370702,
1991-01,1695852,
1991-02,1612446,
1991-03,1775748,
1991-04,1704902,
1991-05,1610621,
1991-06,1664581,
1991-07,1817016,
1991-08,1589420,
1991-09,1622939,
1991-10,1851556,
1991-11,1728182,
1991-12,1550883,
1992-01,1548007,
1992-02,1634157,
1992-03,1873727,
1992-04,1844498,
1992-05,1605934,
1992-06,1413049,
1992-07,1867592,
1992-08,1616331,
1992-09,1761530,
1992-10,1958222,
1992-11,1700769,
1992-12,1587989,
1993-01,1532064,
1993-02,1629061,
1993-03,1740958,
1993-04,1585432,
1993-05,1495215,
1993-06,1548030,
1993-07,1465051,
1993-08,1454184,
1993-09,1675731,
1993-10,1625327,
1993-11,1590662,
1993-12,1707558,
1994-01,1397746,
1994-02,1571203,
1994-03,1741444,
1994-04,1685972,
1994-05,1815084,
1994-06,1824828,
1994-07,1524223,
1994-08,1715531,
1994-09,1628367,
1994-10,1958468,
1994-11,1757707,
1994-12,1696997,
1995-01,1765729,
1995-02,1655691,
1995-03,1875204,
1995-04,1690591,
1995-05,1788244,
1995-06,1806115,
1995-07,1679344,
1995-08,1699063,
1995-09,1954221,
1995-10,1850955,
1995-11,1852413,
1995-12,1704463,
1996-01,1897420,
1996-02,1901144,
1996-03,1913529,
1996-04,2037031,
1996-05,1847599,
1996-06,1770532,
1996-07,1926327,
1996-08,1895999,
1996-09,1929878,
1996-10,2306582,
1996-11,1976813,
1996-12,1864214,
1997-01,1852306,
1997-02,1903484,
1997-03,1986475,
1997-04,1878186,
1997-05,1876211,
1997-06,2032183,
1997-07,2051793,
1997-08,1913158,
1997-09,2040338,
1997-10,2218203,
1997-11,2191041,
1997-12,1923486,
1998-01,2157090,
1998-02,2138595,
1998-03,2210158,
1998-04,2365070,
1998-05,2081869,
1998-06,2227007,
1998-07,2306505,
1998-08,1970392,
1998-09,2151861,
1998-10,2484985,
1998-11,2313793,
1998-12,2057191,
1999-01,2091819,
1999-02,2160908,
1999-03,2316693,
1999-04,2417849,
1999-05,2220153,
1999-06,2421761,
1999-07,2295979,
1999-08,2309528,
1999-09,2474129,
1999-10,2618977,
1999-11,2676410,
1999-12,2290807,
2000-01,2379384,
2000-02,2546272,
2000-03,2806272,
2000-04,2662530,
2000-05,2728102,
2000-06,2584723,
2000-07,2608159,
2000-08,2514207,
2000-09,2690310,
2000-10,3157851,
2000-11,3044885,
2000-12,2713292,
2001-01,2804590,
2001-02,2746320,
2001-03,2978089,
2001-04,2859234,
2001-05,2589663,
2001-06,2782576,
2001-07,2803465,
2001-08,2655588,
2001-09,2701918,
2001-10,3050213,
2001-11,2933128,
2001-12,2581305,
2002-01,2624797,
2002-02,2660849,
2002-03,2738722,
2002-04,3056745,
2002-05,2579429,
2002-06,2891224,
2002-07,2780110,
2002-08,2651947,
2002-09,2845238,
2002-10,3172456,
2002-11,3130560,
2002-12,2730556,
2003-01,2647296,
2003-02,2745245,
2003-03,3111834,
2003-04,2897907,
2003-05,2844764,
2003-06,2780475,
2003-07,3053554,
2003-08,2840223,
2003-09,3179437,
2003-10,3289641,
2003-11,3486311,
2003-12,2980298,
2004-01,2957778,
2004-02,3051770,
2004-03,3425841,
2004-04,3253593,
2004-05,3151231,
2004-06,3292344,
2004-07,3455624,
2004-08,3240743,
2004-09,3495182,
2004-10,3748321,
2004-11,3946019,
2004-12,3225563,
2005-01,3216307,
2005-02,3143165,
2005-03,3470174,
2005-04,3480442,
2005-05,3582176,
2005-06,3606769,
2005-07,3427255,
2005-08,3574552,
2005-09,3967908,
2005-10,3902469,
2005-11,4081053,
2005-12,3852260,
2006-01,3762862,
2006-02,3763196,
2006-03,4147727,
2006-04,3919146,
2006-05,4086504,
2006-06,4127903,
2006-07,4158555,
2006-08,3898035,
2006-09,4334625,
2006-10,4690695,
2006-11,4597017,
