"",BBSF2.M.1.T.00000.DGW01.I.F.WPS.Z5.00000.000000.EUR.00,BBSF2.M.1.T.00000.DGW01.I.F.WPS.Z5.00000.000000.EUR.00_FLAGS
"",Funds total / Funds-of-funds: Mixed securities funds / Securities total / Denominated in Euro,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:47:38,
2009-09,11198,
2009-10,11254,
2009-11,11484,
2009-12,12175,
2010-01,12276,
2010-02,12244,
2010-03,12755,
2010-04,12982,
2010-05,12889,
2010-06,14583,
2010-07,14858,
2010-08,15162,
2010-09,16119,
2010-10,16539,
2010-11,16661,
2010-12,17102,
2011-01,17124,
2011-02,17323,
2011-03,17163,
2011-04,17572,
2011-05,17294,
2011-06,17342,
2011-07,17480,
2011-08,16858,
2011-09,16679,
2011-10,17501,
2011-11,16966,
2011-12,17455,
2012-01,18059,
2012-02,18320,
2012-03,18464,
2012-04,18573,
2012-05,18297,
2012-06,18153,
2012-07,19075,
2012-08,18808,
2012-09,19105,
2012-10,18811,
2012-11,18927,
2012-12,19356,
2013-01,19709,
2013-02,19913,
2013-03,20140,
2013-04,20612,
2013-05,20456,
2013-06,19601,
2013-07,19921,
2013-08,19839,
2013-09,19461,
2013-10,20098,
2013-11,20107,
2013-12,20036,
2014-01,20223,
2014-02,20712,
2014-03,21049,
2014-04,21209,
2014-05,21651,
2014-06,21990,
2014-07,22202,
2014-08,22611,
2014-09,22787,
2014-10,22883,
2014-11,23418,
