"",BBBP1.A.DE.N.SK.P010.X.X.Z5.0000.Z0Z.KP,BBBP1.A.DE.N.SK.P010.X.X.Z5.0000.Z0Z.KP_FLAGS
"",,
unit,Prozent (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-30 12:31:50,
1968,2.82,
1969,2.76,
1970,2.75,
1971,2.81,
1972,2.95,
1973,2.98,
1974,3.19,
1975,3.41,
1976,3.24,
1977,3.23,
1978,3.19,
1979,2.99,
1980,2.93,
1981,3.26,
1982,3.47,
1983,3.63,
1984,3.45,
1985,3.32,
1986,3.19,
1987,3.01,
1988,2.94,
1989,2.78,
1990,2.67,
1991,2.82,
1992,2.88,
1993,3.04,
1994,3.15,
1995,3.02,
1996,2.91,
1997,2.72,
1998,2.52,
1999,2.48,
2000,2.33,
2001,2.28,
2002,2.38,
2003,2.40,
2004,2.35,
2005,2.30,
2006,2.23,
2007,2.06,
2008,2.00,
2009,2.13,
2010,2.20,
2011,2.21,
2012,2.12,
2013,2.11,Provisional value
