"",BBFB1.Q.N.DE.O1.S1.S1.T.C.IN1._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.O1.S1.S1.T.C.IN1._Z._Z._Z._T._X.N_FLAGS
"",Current account / Primary income / Receipts / Oceania and Polar Regions,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:34:29,
1991-01,288.561,
1991-04,298.544,
1991-07,289.766,
1991-10,279.606,
1992-01,247.477,
1992-04,248.052,
1992-07,225.386,
1992-10,206.634,
1993-01,178.884,
1993-04,182.955,
1993-07,173.094,
1993-10,169.230,
1994-01,236.156,
1994-04,249.679,
1994-07,245.070,
1994-10,249.103,
1995-01,189.255,
1995-04,181.770,
1995-07,169.236,
1995-10,155.043,
1996-01,201.460,
1996-04,232.097,
1996-07,203.971,
1996-10,202.951,
1997-01,168.571,
1997-04,175.198,
1997-07,213.416,
1997-10,195.460,
1998-01,141.425,
1998-04,150.655,
1998-07,126.731,
1998-10,133.033,
1999-01,78.297,
1999-04,66.269,
1999-07,49.004,
1999-10,59.105,
2000-01,169.214,
2000-04,140.455,
2000-07,178.751,
2000-10,205.778,
2001-01,213.089,
2001-04,174.801,
2001-07,176.638,
2001-10,217.421,
2002-01,213.083,
2002-04,204.286,
2002-07,199.322,
2002-10,198.584,
2003-01,185.090,
2003-04,191.507,
2003-07,195.941,
2003-10,204.644,
2004-01,268.179,
2004-04,263.301,
2004-07,282.601,
2004-10,304.038,
2005-01,372.972,
2005-04,375.227,
2005-07,406.883,
2005-10,405.377,
2006-01,253.978,
2006-04,258.829,
2006-07,288.477,
2006-10,306.276,
2007-01,383.901,
2007-04,386.683,
2007-07,364.630,
2007-10,345.404,
2008-01,388.821,
2008-04,337.565,
2008-07,349.922,
2008-10,431.892,
2009-01,462.948,
2009-04,458.539,
2009-07,469.262,
2009-10,535.565,
2010-01,591.403,
2010-04,596.850,
2010-07,617.127,
2010-10,651.594,
2011-01,455.441,
2011-04,493.756,
2011-07,536.220,
2011-10,531.900,
2012-01,539.458,
2012-04,524.083,
2012-07,569.730,
2012-10,554.551,
2013-01,564.519,
2013-04,572.390,
2013-07,587.329,
2013-10,562.974,
2014-01,517.284,Provisional value
2014-04,537.347,Provisional value
2014-07,619.962,Provisional value
