"",BBEX3.M.DZD.USD.CA.AC.A01,BBEX3.M.DZD.USD.CA.AC.A01_FLAGS
"",Exchange rates for the US dollar in Algeria / USD 1 = DZD ... (middle),
unit,DZD (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:17:09,
1975-01,3.93000,
1975-02,3.80750,
1975-03,3.85750,
1975-04,3.87375,
1975-05,3.83650,
1975-06,3.85050,
1975-07,4.05000,
1975-08,4.07200,
1975-09,4.14750,
1975-10,4.06250,
1975-11,4.11750,
1975-12,4.12500,
1976-01,4.12750,
1976-02,4.13750,
1976-03,4.13750,
1976-04,4.13450,
1976-05,4.16550,
1976-06,4.16350,
1976-07,4.19800,
1976-08,4.19450,
1976-09,4.16850,
1976-10,4.18300,
1976-11,4.17850,
1976-12,4.15850,
1977-01,4.18050,
1977-02,4.17950,
1977-03,4.17350,
1977-04,4.16250,
1977-05,4.15950,
1977-06,4.14850,
1977-07,4.13200,
1977-08,4.15050,
1977-09,4.14950,
1977-10,4.12150,
1977-11,4.11500,
1977-12,4.03500,
1978-01,4.04400,
1978-02,4.03050,
1978-03,3.98750,
1978-04,4.00900,
1978-05,4.02200,
1978-06,3.98750,
1978-07,3.93500,
1978-08,3.91300,
1978-09,3.89250,
1978-10,3.75100,
1978-11,3.93750,
1978-12,3.83650,
1979-01,3.87950,
1979-02,3.87000,
1979-03,3.88050,
1979-04,3.91000,
1979-05,3.92500,
1979-06,3.86250,
1979-07,3.84750,
1979-08,3.84250,
1979-09,3.80150,
1979-10,3.84750,
1979-11,3.78500,
1979-12,3.75550,
1980-01,3.75100,
1980-02,3.80150,
1980-03,3.95950,
1980-04,3.83050,
1980-05,3.80850,
1980-06,3.77750,
1980-07,3.78950,
1980-08,3.81100,
1980-09,3.82600,
1980-10,3.90900,
1980-11,3.94300,
1980-12,3.97150,
1981-01,4.11350,
1981-02,4.16600,
1981-03,4.14450,
1981-04,4.25450,
1981-05,4.35150,
1981-06,4.41300,
1981-07,4.46700,
1981-08,4.45000,
1981-09,4.37750,
1981-10,4.37650,
1981-11,4.32850,
1981-12,4.37800,
1982-01,4.42750,
1982-02,4.49800,
1982-03,4.54000,
1982-04,4.49450,
1982-05,4.50200,
1982-06,4.64400,
1982-07,4.64150,
1982-08,4.67750,
1982-09,4.70500,
1982-10,4.73800,
1982-11,4.69500,
1982-12,4.63550,
1983-01,4.68000,
1983-02,4.66700,
1983-03,4.72250,
1983-04,4.73750,
1983-05,4.77100,
1983-06,4.79150,
1983-07,4.85050,
1983-08,4.88850,
1983-09,4.85800,
1983-10,4.85600,
1983-11,4.89340,
1983-12,4.91650,
1984-01,4.96240,
1984-02,4.85520,
1984-03,4.84990,
1984-04,4.91805,
1984-05,4.92850,
1984-06,4.95730,
1984-07,5.01560,
1984-08,5.00940,
1984-09,5.07560,
1984-10,5.07910,
1984-11,5.10700,
1984-12,5.12270,
1985-01,5.14030,
1985-02,5.20720,
1985-03,5.10410,
1985-04,5.10490,
1985-05,5.10210,
1985-06,5.08550,
1985-07,4.95380,
1985-08,4.95560,
1985-09,4.89760,
1985-10,4.86350,
1985-11,4.80210,
1985-12,4.77280,
1986-01,4.73750,
1986-02,4.62540,
1986-03,4.68950,
1986-04,4.62430,
1986-05,4.71270,
1986-06,4.63320,
1986-07,4.57750,
1986-08,4.55620,
1986-09,4.67160,
1986-10,4.85120,
1986-11,4.77660,
1986-12,4.82350,
1987-01,4.63860,
1987-02,4.66190,
1987-03,4.66760,
1987-04,4.68620,
1987-05,4.78860,
1987-06,4.85080,
1987-07,4.97620,
1987-08,5.00770,
1987-09,5.08170,
1987-10,5.00090,
1987-11,4.87320,
1987-12,4.93630,
1988-01,5.17510,
1988-02,5.29010,
1988-03,5.29710,
1988-04,5.42900,
1988-05,5.62720,
1988-06,5.96540,
1988-07,6.23670,
1988-08,6.44510,
1988-09,6.60090,
1988-10,6.46090,
1988-11,6.53990,
1988-12,6.73080,
1989-01,6.91120,
1989-02,6.84530,
1989-03,7.06630,
1989-04,7.19920,
1989-05,7.62680,
1989-06,7.71200,
1989-07,7.68600,
1989-08,8.13050,
1989-09,8.09390,
1989-10,8.14550,
1989-11,8.18440,
1989-12,8.03240,
1990-01,7.97130,
1990-02,7.97760,
1990-03,7.96740,
1990-04,8.03670,
1990-05,8.43960,
1990-06,8.73140,
1990-07,8.84660,
1990-08,9.12010,
1990-09,9.49150,
1990-10,9.69100,
1990-11,10.94510,
1990-12,12.19080,
1991-01,15.63910,
1991-02,16.59490,
1991-03,17.76530,
1991-04,17.49860,
1991-05,17.81700,
1991-06,18.38450,
1991-07,17.99810,
1991-08,17.92210,
1991-09,21.43890,comment
1991-10,22.62750,
1991-11,22.31960,
1991-12,21.39190,
1992-01,22.14070,
1992-02,22.33000,
1992-03,22.38200,
1992-04,22.38410,
1992-05,22.15940,
1992-06,21.32950,
1992-07,21.07780,
1992-08,20.50790,
1992-09,21.05910,
1992-10,21.89110,
1992-11,22.57960,
1992-12,22.77930,
1993-01,22.50470,
1993-02,23.06010,
1993-03,23.12040,
1993-04,22.52350,
1993-05,22.87500,
1993-06,23.57180,
1993-07,23.83810,
1993-08,23.72160,
1993-09,23.30970,
1993-10,23.82970,
1993-11,24.11470,
1993-12,24.12300,
1994-01,24.03980,
1994-02,23.93370,
1994-03,25.94460,
1994-04,35.99500,comment
1994-05,36.98520,
1994-06,38.27720,
1994-07,38.24950,
1994-08,38.56660,
1994-09,40.90280,
1994-10,40.96250,
1994-11,42.50060,
1994-12,43.08000,
1995-01,42.60000,
1995-02,43.73150,
1995-03,43.57000,
1995-04,44.78400,
1995-05,45.92200,
1995-06,49.21000,
1995-07,49.68600,
1995-08,51.08000,
1995-09,50.26450,
1995-10,51.01000,
1995-11,51.46500,
1995-12,52.17500,
1996-01,53.82500,
1996-02,53.38960,
1996-03,53.49020,
1996-04,54.12900,
1996-05,55.08430,
1996-06,55.22300,
1996-07,54.95290,
1996-08,55.20240,
1996-09,55.83760,
1996-10,55.43730,
1996-11,55.90520,
1996-12,55.93640,
1997-01,57.20520,
1997-02,57.24240,
1997-03,56.55010,
1997-04,57.66630,
1997-05,56.90380,
1997-06,57.61650,
1997-07,59.30110,
1997-08,58.58340,
1997-09,58.04010,
1997-10,57.06330,
1997-11,57.84580,
1997-12,58.52360,
1998-01,59.16650,
1998-02,58.86750,
1998-03,59.53030,
1998-04,58.54350,
1998-05,58.35910,
1998-06,58.75280,
1998-07,58.77370,
1998-08,59.25030,
1998-09,57.62870,
1998-10,58.08240,
1998-11,59.66230,
1998-12,60.32650,
1999-01,62.13120,
1999-02,64.47370,
1999-03,66.18940,
1999-04,67.15710,
1999-05,67.80870,
1999-06,68.36490,
1999-07,66.75260,
1999-08,67.50540,
1999-09,67.10650,
1999-10,67.44360,
1999-11,69.27500,
1999-12,69.36480,
2000-01,70.68970,
2000-02,72.08070,
2000-03,73.50870,
2000-04,76.00250,
2000-05,75.08240,
2000-06,73.82080,
2000-07,75.47590,
2000-08,77.10780,
2000-09,77.93530,
2000-10,80.32530,
2000-11,79.12160,
2000-12,75.48740,
2001-01,75.40640,
2001-02,75.85780,
2001-03,78.15520,
2001-04,77.59390,
2001-05,80.03600,
2001-06,80.17490,
2001-07,78.43300,
2001-08,76.14720,
2001-09,76.34390,
2001-10,76.72580,
2001-11,77.82540,
2001-12,77.66910,
2002-01,79.13320,
2002-02,79.59620,
2002-03,80.22030,
2002-04,80.15120,
2002-05,80.00860,
2002-06,79.90230,
2002-07,79.93210,
2002-08,79.92610,
2002-09,79.91420,
2002-10,79.89690,
2002-11,79.88490,
2002-12,79.71800,
2003-01,79.61070,
2003-02,79.65840,
2003-03,79.65780,
2003-04,79.57490,
2003-05,79.37760,
2003-06,78.33530,
2003-07,77.74030,
2003-08,77.85630,
2003-09,76.99580,
2003-10,75.77320,
2003-11,69.44710,
2003-12,72.54210,
2004-01,71.58450,
2004-02,71.45600,
2004-03,71.46060,
2004-04,71.54780,
2004-05,71.44550,
2004-06,71.47130,
2004-07,72.62150,
2004-08,72.60510,
2004-09,72.58360,
2004-10,73.02840,
2004-11,73.02940,
2004-12,72.60820,
2005-01,72.81070,
2005-02,72.31140,
2005-03,72.91820,
2005-04,72.86620,
2005-05,74.26010,
2005-06,73.91390,
2005-07,74.17940,
2005-08,73.87700,
2005-09,73.61320,
2005-10,73.23720,
2005-11,74.40970,
2005-12,73.44410,
2006-01,72.78210,
2006-02,74.03830,
2006-03,74.02670,
2006-04,72.40070,
2006-05,72.91270,
2006-06,73.30070,
2006-07,73.17940,
2006-08,72.46590,
2006-09,72.11820,
2006-10,72.06710,
2006-11,71.09010,
2006-12,71.18200,
2007-01,71.65180,
2007-02,71.13100,
2007-03,70.88250,
2007-04,70.35830,
2007-05,70.59320,
2007-06,69.99160,
2007-07,68.68350,
2007-08,68.55630,
2007-09,67.65450,
2007-10,67.18910,
2007-11,66.71020,
2007-12,66.92970,
2008-01,66.57380,
2008-02,66.10810,
2008-03,65.25310,
2008-04,63.91600,
2008-05,62.84030,
2008-06,61.95760,
2008-07,61.25410,
2008-08,60.94460,
2008-09,60.87120,
2008-10,66.98910,
2008-11,70.57820,
2008-12,71.22070,
2009-01,71.94680,
2009-02,72.57240,
2009-03,73.10790,
2009-04,72.93560,
2009-05,72.31440,
2009-06,73.25420,
2009-07,72.96790,
2009-08,72.95360,
2009-09,72.57930,
2009-10,72.35340,
2009-11,72.27250,
2009-12,72.77740,
2010-01,73.51130,
2010-02,73.41970,
2010-03,73.56720,
2010-04,73.58430,
2010-05,75.36450,
2010-06,75.37430,
2010-07,74.94980,
2010-08,75.86950,
2010-09,74.67330,
2010-10,74.12400,
2010-11,74.70930,
2010-12,73.93650,
2011-01,72.61830,
2011-02,72.48710,
2011-03,72.11670,
2011-04,71.31150,
2011-05,71.97910,
2011-06,71.69540,
2011-07,72.18110,
2011-08,71.96800,
2011-09,74.03690,
2011-10,73.05930,
2011-11,73.97620,
2011-12,76.02020,
2012-01,75.36240,
2012-02,74.43490,
2012-03,74.08110,
2012-04,74.26390,
2012-05,76.88640,
2012-06,78.72220,
2012-07,81.83030,
2012-08,79.91560,
2012-09,79.34780,
2012-10,79.13330,
2012-11,78.57140,
2012-12,78.08010,
2013-01,77.44590,
2013-02,78.35620,
2013-03,79.03900,
2013-04,78.31890,
2013-05,79.02940,
2013-06,80.02320,
2013-07,79.60010,
2013-08,81.16680,
2013-09,81.32280,
2013-10,81.18550,
2013-11,79.72120,
2013-12,78.14490,
2014-01,78.03130,
2014-02,77.49360,
2014-03,78.46640,
2014-04,78.48880,
2014-05,79.15130,
2014-06,79.24400,
2014-07,79.83980,
2014-08,80.29050,
2014-09,83.24210,
2014-10,83.81790,
2014-11,86.03140,
2014-12,87.94500,
2015-01,92.83880,
"","Source: Calculated on the basis of the buying and selling rates of the Banque d'Algerie (formerly: Banque Centrale d'Algerie), Algiers.",
"","Comment on 1991-09: 27 September 1991: USD 1 = DZD 17,6285 / 17,6435 (buying/selling). Calculated devaluation: 17,7%.",
"","Comment on 1994-04: On 10 April 1994, the Algerian dinar was devalued. We recorded the following exchange rates (buying/selling rate). 8 April 1994: USD 1 = DZD 25.6762 / 25.691211 April 1994: USD 1 = DZD 35.9110 / 35.9260. Calculated devaluation: 28.5%.",
