"",BBK01.OEBB05I,BBK01.OEBB05I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:26:49,
2002-01,37.126,
2002-04,35.635,
2002-07,35.508,
2002-10,35.082,
2003-01,33.891,
2003-04,34.584,
2003-07,30.424,
2003-10,28.179,
2004-01,28.613,
2004-04,28.032,
2004-07,28.145,
2004-10,27.798,
2005-01,31.179,
2005-04,31.149,
2005-07,31.204,
2005-10,30.928,
2006-01,31.351,
2006-04,31.300,
2006-07,28.832,
2006-10,31.653,
2007-01,32.769,
2007-04,33.781,
2007-07,34.625,
2007-10,35.333,
2008-01,36.634,
2008-04,40.147,
2008-07,42.136,
2008-10,44.276,
2009-01,44.825,
2009-04,47.855,
2009-07,47.949,
2009-10,48.421,
2010-01,48.446,
2010-04,48.438,
2010-07,50.185,
2010-10,50.005,
2011-01,49.548,
2011-04,49.160,
2011-07,49.079,
2011-10,49.378,
2012-01,49.669,
2012-04,49.332,
2012-07,49.529,
2012-10,49.468,
2013-01,49.327,
2013-04,50.592,
2013-07,50.921,
2013-10,51.583,
2014-01,51.216,
2014-04,51.349,
2014-07,51.185,
